,genre1,genre2,genre3,genre4,genre5,genre6,genre7,genre8,genre9,genre10,10,genres_together,artist_id,Artist,artist_followers,artist_popularity
1,funk,indie soul,neo soul,r&b,soul,urban contemporary,,,,,,"funk,indie soul,neo soul,r&b,soul,urban contemporary",6g0Wah2YFtb1rFgKhUktlo,Raphael Saadiq,416832,0.59
2,dancehall,,,,,,,,,,,dancehall,5sK8BsvyDl4TFA6KaBf8or,Charly Black,223113,0.64
3,eurovision,norwegian pop,,,,,,,,,,"eurovision,norwegian pop",0chh7dlaUzEreDTulHiOlm,KEiiNO,27592,0.56
4,icelandic indie,icelandic rock,modern alternative rock,,,,,,,,,"icelandic indie,icelandic rock,modern alternative rock",7jdFEYD2LTYjfwxOdlVjmc,KALEO,1144882,0.73
5,australian psych,neo-psychedelic,,,,,,,,,,"australian psych,neo-psychedelic",5INjqkS1o8h1imAzPqGZBb,Tame Impala,4607070,0.83
6,british soul,indie soul,uk contemporary r&b,,,,,,,,,"british soul,indie soul,uk contemporary r&b",1Q2mS59tFYLm2KGFoCgWN4,Samm Henshaw,180319,0.6
7,rap espanol,spanish pop,,,,,,,,,,"rap espanol,spanish pop",4ckWVaYN8j0EZrNFRHmxZx,Marmi,7114,0.58
8,latin,latin pop,modern salsa,salsa,tropical,,,,,,,"latin,latin pop,modern salsa,salsa,tropical",4wLXwxDeWQ8mtUIRPxGiD6,Marc Anthony,5064701,0.81
9,modern salsa,,,,,,,,,,,modern salsa,2ap4aQTG8zcKmzRjqlVmMd,Lafame,1859,0.39
10,pop argentino,trap latino,,,,,,,,,,"pop argentino,trap latino",1DxLCyH42yaHKGK3cl5bvG,Maria Becerra,549788,0.76
11,,,,,,,,,,,,,5MLIxVYkY4Fc2dwdaYSS8G,Suriel Hess,52062,0.47
12,canadian hip hop,pop,,,,,,,,,,"canadian hip hop,pop",4rTv3Ejc7hKMtmoBOK1B4T,Ali Gatie,1548112,0.78
