,name,artist,album,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,time_signature,spotify_id,release_date_year
0,Solo Dance,Martin Jensen,Solo Dance,2016-11-04,0.30450549158075907,0.010526315789473684,0.0435,0.744,0.836,0.0,0.194,0.8997424461335511,0.07071129707112972,0.36,0.5419886194883013,4,6HUnnBwYZqcED1eQztxMBN,2016
1,Duro y Suave,Leslie Grace,Duro y Suave,2018-01-19,0.37722457815078336,0.6631578947368421,0.111,0.769,0.721,5.9e-05,0.0505,0.8341918462214963,0.21338912133891214,0.618,0.4477623198517799,4,31M5m42C3EGlbydf9XB5to,2018
2,The Greatest (feat. Kendrick Lamar),Sia,This Is Acting (Deluxe Version),2016-10-21,0.3827826966411753,0.7473684210526316,0.0102,0.668,0.725,0.000479,0.0561,0.7825554368993027,0.37099023709902373,0.729,0.9048968258083981,4,7xHWNBFm6ObGEQPaUxHuKO,2016
3,Puesto Pa' Guerrial,Bad Bunny,YHLQMDLG,2020-02-28,0.3383820685249916,0.6947368421052632,0.311,0.867,0.686,0.0,0.1,0.8072115082605692,0.3082287308228731,0.658,0.6598622458360245,4,5gCg2qMPzKkW4jS4dBKdDs,2020
4,Ojalá Amiga,El Barrio,Las Costuras del Alma,2017-10-27,0.4660591032488156,0.0,0.0658,0.559,0.929,0.0,0.338,0.7990451661536528,0.06875871687587169,0.795,0.7968291084637252,4,6kBngWUWIstgn9LtIYPsvA,2017
5,Si Tu Lo Dejas,Rvssian,Si Tu Lo Dejas,2017-08-03,0.5275066981316205,0.631578947368421,0.0286,0.713,0.577,0.0,0.165,0.6807902506438847,0.06080892608089261,0.387,0.5422526247306911,4,2naJy8SKJ27gj6ZhRPDKaz,2017
6,Passionfruit,Drake,More Life,2017-03-18,0.5795436398800546,0.8210526315789474,0.256,0.809,0.463,0.085,0.109,0.6176581443558012,0.05523012552301256,0.364,0.5279161971930586,4,5mCPDVBb16L4XQwDdbRUpz,2017
7,Cositas,Brytiago,Cositas,2020-06-19,0.33801167515392394,0.5684210526315789,0.21,0.825,0.631,0.0,0.342,0.8178591620076638,0.10362622036262205,0.86,0.7261087041585541,4,28MQqYBRGytyNKE263ASRM,2020
8,Antisocial (with Travis Scott),Ed Sheeran,No.6 Collaborations Project,2019-07-12,0.27525772281268296,0.7052631578947368,0.132,0.716,0.823,0.0,0.361,0.8081223694955714,0.06903765690376569,0.91,0.7163829396040864,4,1DhRbox3xkceP64k3JeYfW,2019
9,Siempre Brilla El Sol,Lori Meyers,En La Espiral,2017-02-17,0.402389148139605,0.0,0.0583,0.476,0.73,0.00281,0.104,0.8130221747597212,0.04616457461645746,0.751,0.810708241206504,4,1Obr8xtmV5CpoUfY2pbaKD,2017
10,Pizza,Martin Garrix,Pizza,2017-08-25,0.48231427101261554,0.5684210526315789,0.000408,0.381,0.712,0.589,0.183,0.7582762736352787,0.04951185495118549,0.0378,0.6032849795160219,4,5oAgI7Pzg6vxuKrfapg3Pi,2017
11,París,DELLAFUENTE,París,2019-02-14,0.34434163132773826,0.6,0.155,0.894,0.646,0.0,0.11,0.7734468245492807,0.12454672245467226,0.539,0.5374298146777486,4,64NRP5zPfcCZJw8Lc61Wgi,2019
12,Me Quedo,Aitana,Spoiler,2019-06-07,0.30339652939193384,0.6,0.432,0.824,0.714,0.0,0.442,0.8874301149569697,0.07112970711297072,0.77,0.45745979813027715,4,6Nqi1fWKYXrVXmF3RtQbSf,2019
13,Sexy Dirty Love,Demi Lovato,Sexy Dirty Love,2017-09-22,0.38937880374030764,0.0,0.000963,0.387,0.75,2.73e-05,0.0579,0.8358251146428796,0.4225941422594142,0.834,0.4389747167836619,1,5kXCVnfbxfq5nKjAVvj3no,2017
14,Travesuras,Flow La Movie,Travesuras,2020-11-05,0.36937312585390086,0.8315789473684211,0.182,0.756,0.83,0.000384,0.227,0.8089075946981594,0.11743375174337517,0.422,0.8295469010027485,4,2etJ67Egf7woMgOikVrlJM,2020
15,"Amor, Amor, Amor (feat. Wisin)",Jennifer Lopez,"Amor, Amor, Amor (feat. Wisin)",2017-11-10,0.35696605688532446,0.5684210526315789,0.0389,0.743,0.917,6.03e-06,0.265,0.8512155286136064,0.13500697350069735,0.491,0.5324467157276409,4,7h9sdbDEBfkWSmO4mzGED6,2017
16,Fin De Semana,Lunay,Fin De Semana,2019-09-13,0.2526703809506911,0.5263157894736842,0.334,0.828,0.944,0.00813,0.0869,0.9232363841949871,0.09804741980474199,0.891,0.4525568436287521,4,2DFn7QiaiaNNWXuWLABatP,2019
17,Volver A Empezar,Alfred García,1016,2018-12-13,0.3751153320676378,0.22105263157894736,0.42,0.398,0.589,3.08e-06,0.103,0.7183868333438029,0.049790794979079504,0.237,0.6790921991165253,4,3K7oH8JDiBLCwu8EgYCkqu,2018
