Position,Track Name,Artist,Streams,date,region,spotify_id
1,Felices los 4,Maluma,352979,2017-06-03,es,0qYTZCo5Bwh1nsUFGZP3zn
2,Me Rehúso,Danny Ocean,284037,2017-06-03,es,6Zosz8w6CmdGMZM6p4JlbQ
3,Me Enamoré,Shakira,255086,2017-06-03,es,4qknM1pQz53QOyfDVTjcM9
4,SUBEME LA RADIO (feat. Descemer Bueno & Zion & Lennox),Enrique Iglesias,232638,2017-06-03,es,7nKBxz47S9SD79N086fuhn
5,Despacito - Remix,Luis Fonsi,230410,2017-06-03,es,5CtI0qwDJkDQGwXD1H1cLb
6,Despacito (Featuring Daddy Yankee),Luis Fonsi,215343,2017-06-03,es,4aWmUDTfIPGksMNLV2rQP2
7,Shape of You,Ed Sheeran,206360,2017-06-03,es,7qiZfU4dY1lWllzX7mPBI3
8,Ahora Dice,Chris Jeday,197806,2017-06-03,es,22eADXu8DfOAUEDw4vU8qy
9,Hey Ma (with Pitbull & J Balvin feat. Camila Cabello) - Spanish Version,Pitbull,189031,2017-06-03,es,2Vdub5mY4lad7w64bFPUez
10,Hey DJ,CNCO,187555,2017-06-03,es,209gZgcfLq2aUuu51vOWBl
11,Escápate Conmigo,Wisin,180848,2017-06-03,es,2cnKEkpVUSV4wnjQiTWfH6
12,Swalla (feat. Nicki Minaj & Ty Dolla $ign),Jason Derulo,171812,2017-06-03,es,6kex4EBAj0WHXDKZMEJaaF
13,El Amante,Nicky Jam,164521,2017-06-03,es,3umS4y3uQDkqekNjVpiRUs
14,Lumbra,Cali Y El Dandee,158610,2017-06-03,es,6VHdcVbiKLYYOcMbIqBcuK
15,Tu Foto,Ozuna,144265,2017-06-03,es,0Szp49tpFasIjX04Mcsydp
16,Mala Mujer,C. Tangana,141489,2017-06-03,es,6puxHBNwu2Nmm7uD3Rd2MP
17,Sigo Extrañándote,J Balvin,138148,2017-06-03,es,6qDF4wWL49CAVbgT7yuHl8
18,La Rompe Corazones,Daddy Yankee,135111,2017-06-03,es,4okba5wu9mMLXx79DXLKi3
19,Tú Me Obligaste,Antonio José,131146,2017-06-03,es,2abUdU32h3kVukSQiohU6P
20,Otra vez (feat. J Balvin),Zion & Lennox,123293,2017-06-03,es,3QwBODjSEzelZyVjxPOHdq
21,It Ain't Me (with Selena Gomez),Kygo,120546,2017-06-03,es,3eR23VReFzcdmS7TYCrhCe
22,Kung Fu,Dasoul,118293,2017-06-03,es,0B6GRS3vGtzu6w5BQXqWMq
23,Báilame,Nacho,118078,2017-06-03,es,7lRsNbdOGykkMAgsqs4R1C
24,Attention,Charlie Puth,118072,2017-06-03,es,4iLqG9SeJSnt0cSPICSjxv
25,Me llamas (feat. Maluma) - Remix,Piso 21,116624,2017-06-03,es,5hEM0JchdVzQ5PwvSfITeX
26,Something Just Like This,The Chainsmokers,113607,2017-06-03,es,6RUKPb4LETWmmr3iAEQktW
27,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]",Anuel AA,112614,2017-06-03,es,5q2JbCNi4FcnglgPfxcV65
28,There's Nothing Holdin' Me Back,Shawn Mendes,111406,2017-06-03,es,79cuOz3SPQTuFrp8WgftAu
29,Chantaje (feat. Maluma),Shakira,111066,2017-06-03,es,6mICuAdrwEjh6Y6lroV2Kg
30,Symphony (feat. Zara Larsson),Clean Bandit,110786,2017-06-03,es,1x5sYLZiu9r5E43kMlt9f8
31,I'm the One,DJ Khaled,110013,2017-06-03,es,72Q0FQQo32KJloivv5xge2
32,Reggaetón Lento (Bailemos),CNCO,108657,2017-06-03,es,3AEZUABDXNtecAOSC1qTfo
33,Alguien Robo,Sebastian Yatra,107526,2017-06-03,es,5i50gKdLAjjIr7UxRT5IVy
34,Malibu,Miley Cyrus,104966,2017-06-03,es,2habSXqcJGExM6JJyskY7O
35,Deja vu,Prince Royce,102307,2017-06-03,es,46HdsiK0uR26B2dY9QPzda
