,Track Name,Artist,Streams,date,spotify_id,year,Streamstotal,album,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,time_signature,release_date_year,genre1,genre2,genre3,genre4,genre5,genre6,genre7,genre8,genre9,genre10,genres_together,artist_id,artist_followers,artist_popularity,streamstotal_weights,genre_depurated,genre_depurated_final
0,Tusa,KAROL G,432730,2020-03-13,7k4t7uLgtOxPwTpFmtJNTY,2020,19082982,Tusa,2019-11-07,0.3249719849526501,0.91,0.295,0.8029999999999999,0.715,0.000134,0.0574,0.9114248194353248,0.3977996525767226,0.574,0.2581595633088574,4,2019-01-01,latin,reggaeton,reggaeton colombiano,,,,,,,,"latin,reggaeton,reggaeton colombiano",790FomKkXshlbRYZFtlgla,11614405,0.8888888888888888,0.017032694937215206,reggaeton,reggaeton
1,Follow,KAROL G,152745,2020-04-02,2w1rq80FIrbxeJy9WYURxw,2020,6900319,Follow,2020-04-01,0.3304416504901672,0.78,0.667,0.735,0.787,6.15e-06,0.0721,0.8754760341431386,0.1980312680949624,0.455,0.7119014371521538,4,2020-01-01,latin,reggaeton,reggaeton colombiano,,,,,,,,"latin,reggaeton,reggaeton colombiano",790FomKkXshlbRYZFtlgla,11614405,0.8888888888888888,0.006158944576716045,reggaeton,reggaeton
2,Créeme,KAROL G,75552,2019-03-13,1mT47pKLXUwPYGwB91GcNz,2019,3272814,Créeme,2018-11-02,0.3545461305898674,0.73,0.154,0.715,0.872,0.000146,0.11,0.9041694024950756,0.045599305153445284,0.682,0.23045880631518464,4,2018-01-01,latin,reggaeton,reggaeton colombiano,,,,,,,,"latin,reggaeton,reggaeton colombiano",790FomKkXshlbRYZFtlgla,11614405,0.8888888888888888,0.0035096904602340425,reggaeton,reggaeton
3,Culpables,KAROL G,56202,2019-03-13,6q8Lb50EtqNeeJXXe8mMAH,2019,2136436,Culpables,2018-09-14,0.3907874728504061,0.7,0.279,0.728,0.8009999999999999,4.71e-06,0.14300000000000002,0.9225213394615892,0.06528662420382167,0.416,0.4517441588550888,4,2018-01-01,latin,reggaeton,reggaeton colombiano,,,,,,,,"latin,reggaeton,reggaeton colombiano",790FomKkXshlbRYZFtlgla,11614405,0.8888888888888888,0.0022910648292572013,reggaeton,reggaeton
4,Punto G,KAROL G,51826,2019-04-05,5Lb1pjnll07UQKxNpnnGBy,2019,1930173,Punto G,2019-04-05,0.2752911128833317,0.62,0.00796,0.787,0.7509999999999999,0.000139,0.0857,0.8635587655942221,0.09163288940359003,0.926,0.6916169465026626,4,2019-01-01,latin,reggaeton,reggaeton colombiano,,,,,,,,"latin,reggaeton,reggaeton colombiano",790FomKkXshlbRYZFtlgla,11614405,0.8888888888888888,0.0020698731320207392,reggaeton,reggaeton
5,Punto G,KAROL G,122406,2019-05-03,2E82gORVSA7UMEz5M1IP3b,2019,1151711,OCEAN,2019-05-03,0.2793273311468347,0.63,0.00938,0.7909999999999999,0.746,0.000117,0.125,0.8642810242941562,0.09771279675738276,0.905,0.6918374300966788,4,2019-01-01,latin,reggaeton,reggaeton colombiano,,,,,,,,"latin,reggaeton,reggaeton colombiano",790FomKkXshlbRYZFtlgla,11614405,0.8888888888888888,0.0012350683875241946,reggaeton,reggaeton
6,Créeme,KAROL G,64151,2019-05-03,4EKZsrsCKyqr64FBHLc0DU,2019,600475,OCEAN,2019-05-03,0.3591618820983206,0.67,0.126,0.715,0.8740000000000001,0.000162,0.105,0.9017071569271176,0.04574406485234511,0.652,0.2308329602929092,4,2019-01-01,latin,reggaeton,reggaeton colombiano,,,,,,,,"latin,reggaeton,reggaeton colombiano",790FomKkXshlbRYZFtlgla,11614405,0.8888888888888888,0.000643935579323798,reggaeton,reggaeton
7,Love With A Quality,KAROL G,46140,2019-05-03,6F9DPkjP6Tbz9FLgLyYgX6,2019,46140,OCEAN,2019-05-03,0.3834381707263911,0.62,0.0646,0.8490000000000001,0.752,3.15e-06,0.106,0.8957977675640184,0.1777649102489867,0.586,0.2577119147997943,4,2019-01-01,latin,reggaeton,reggaeton colombiano,,,,,,,,"latin,reggaeton,reggaeton colombiano",790FomKkXshlbRYZFtlgla,11614405,0.8888888888888888,4.947947479911744e-05,reggaeton,reggaeton
8,Culpables,KAROL G,41255,2019-05-03,4RGKft6YTTWHjpQeRIInuS,2019,362564,OCEAN,2019-05-03,0.3967725639730337,0.61,0.287,0.728,0.812,2.9e-06,0.13,0.9200590938936308,0.0870005790387956,0.418,0.45154371922416503,4,2019-01-01,latin,reggaeton,reggaeton colombiano,,,,,,,,"latin,reggaeton,reggaeton colombiano",790FomKkXshlbRYZFtlgla,11614405,0.8888888888888888,0.00038880529477822314,reggaeton,reggaeton
9,Ocean,KAROL G,31994,2019-05-03,6qoIFQfdmaQF9A1gb67tR7,2019,541126,OCEAN,2019-05-03,0.20954229695180893,0.74,0.933,0.727,0.482,0.0,0.388,0.8157912015758373,0.13288940359004056,0.487,0.08340961174843496,4,2019-01-01,latin,reggaeton,reggaeton colombiano,,,,,,,,"latin,reggaeton,reggaeton colombiano",790FomKkXshlbRYZFtlgla,11614405,0.8888888888888888,0.0005802910767262077,reggaeton,reggaeton
10,Pineapple,KAROL G,45888,2018-03-13,24snQ8Ew7aIKYCt0ulXHvx,2018,3523304,Pineapple,2018-03-02,0.26698276016811595,0.0,0.0508,0.782,0.6709999999999999,2.49e-06,0.388,0.8610308601444517,0.05616676317313261,0.667,0.2173767797368896,4,2018-01-01,latin,reggaeton,reggaeton colombiano,,,,,,,,"latin,reggaeton,reggaeton colombiano",790FomKkXshlbRYZFtlgla,11614405,0.8888888888888888,0.005006209501520792,reggaeton,reggaeton
11,La Dama,KAROL G,22573,2018-03-13,18Lf9mbzkZnQDjksUhpIqY,2018,717355,Unstoppable,2017-10-27,0.34405042452092344,0.0,0.122,0.8420000000000001,0.7709999999999999,0.000167,0.0967,0.8258699934340119,0.2486971627099016,0.75,0.250836835459107,4,2017-01-01,latin,reggaeton,reggaeton colombiano,,,,,,,,"latin,reggaeton,reggaeton colombiano",790FomKkXshlbRYZFtlgla,11614405,0.8888888888888888,0.0010192788975812042,reggaeton,reggaeton
12,Mi Cama,KAROL G,39209,2018-05-11,7sFYVcKSb24qg0dAkqLEFj,2018,84725,Mi Cama,2018-05-11,0.19788496008657092,0.64,0.222,0.826,0.815,6.96e-05,0.0964,0.8624097176625083,0.0930804863925883,0.68,0.6723212913657289,4,2018-01-01,latin,reggaeton,reggaeton colombiano,,,,,,,,"latin,reggaeton,reggaeton colombiano",790FomKkXshlbRYZFtlgla,11614405,0.8888888888888888,0.00012038447435031127,reggaeton,reggaeton
