,Track Name,Artist,Streams,date,spotify_id,year,Streamstotal,album,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,time_signature,release_date_year,genre1,genre2,genre3,genre4,genre5,genre6,genre7,genre8,genre9,genre10,genres_together,artist_id,artist_followers,artist_popularity,Period,streamstotal_weights
0,Tusa,KAROL G,432554,2020-01-08,7k4t7uLgtOxPwTpFmtJNTY,2020,33218824,Tusa,2019-11-07,0.3703808234511856,0.9578947368421052,0.295,0.8029999999999999,0.715,0.000134,0.0574,0.9104384612861968,0.5206517620310723,0.574,0.2944525640210967,4,2019-01-01,latin,reggaeton,reggaeton colombiano,,,,,,,,"latin,reggaeton,reggaeton colombiano",790FomKkXshlbRYZFtlgla,11614405,0.8888888888888888,NormalPeriod,0.02886926158812816
62,Ocean,KAROL G,29680,2020-01-19,6qoIFQfdmaQF9A1gb67tR7,2020,90300,OCEAN,2019-05-03,0.26271603993360343,0.7789473684210526,0.9329999999999999,0.727,0.48200000000000004,0.0,0.38799999999999996,0.8149083396189291,0.17392951875710494,0.48700000000000004,0.12825189044925975,4,2019-01-01,latin,reggaeton,reggaeton colombiano,,,,,,,,"latin,reggaeton,reggaeton colombiano",790FomKkXshlbRYZFtlgla,11614405,0.8888888888888888,NormalPeriod,7.847641811185047e-05
65,Culpables,KAROL G,104001,2019-01-08,6q8Lb50EtqNeeJXXe8mMAH,2019,5795406,Culpables,2018-09-14,0.43176893234535774,0.7368421052631579,0.27899999999999997,0.728,0.8009999999999999,4.71e-06,0.14300000000000002,0.9215229724854884,0.08544903372489579,0.41600000000000004,0.4785664357882696,4,2018-01-01,latin,reggaeton,reggaeton colombiano,,,,,,,,"latin,reggaeton,reggaeton colombiano",790FomKkXshlbRYZFtlgla,11614405,0.8888888888888888,NormalPeriod,0.006678647863193582
126,Créeme,KAROL G,88542,2019-01-08,1mT47pKLXUwPYGwB91GcNz,2019,5826451,Créeme,2018-11-02,0.3979655292828885,0.7684210526315789,0.154,0.715,0.872,0.000146,0.11,0.9031908962712754,0.059681697612732086,0.682,0.2681070089597763,4,2018-01-01,latin,reggaeton,reggaeton colombiano,,,,,,,,"latin,reggaeton,reggaeton colombiano",790FomKkXshlbRYZFtlgla,11614405,0.8888888888888888,NormalPeriod,0.006714424238983793
187,Mi Cama - Remix,KAROL G,27899,2019-01-12,38QmUDpkoYlNbMKvpvAsrE,2019,27899,Mi Cama (Remix),2018-07-13,0.35928284070089506,0.6947368421052632,0.299,0.815,0.784,0.0,0.0958,0.8729544485619649,0.09586964759378552,0.8320000000000001,0.6876215288809809,4,2018-01-01,latin,reggaeton,reggaeton colombiano,,,,,,,,"latin,reggaeton,reggaeton colombiano",790FomKkXshlbRYZFtlgla,11614405,0.8888888888888888,NormalPeriod,3.215091345373176e-05
188,Ahora Me Llama,KAROL G,26776,2018-01-08,11ZRYISCsAsLyyJo47DudZ,2018,53864,Unstoppable,2017-10-27,0.4523384693394309,0.0,0.00982,0.6559999999999999,0.568,1.82e-05,0.0937,0.8321909946545109,0.033535430087154226,0.121,0.5091885365698671,4,2017-01-01,latin,reggaeton,reggaeton colombiano,,,,,,,,"latin,reggaeton,reggaeton colombiano",790FomKkXshlbRYZFtlgla,11614405,0.8888888888888888,NormalPeriod,7.39100378090377e-05
190,Ahora Me Llama - Remix,KAROL G,21284,2018-01-08,63yOvxSAB02K45KDnZscS0,2018,330066,Unstoppable,2017-10-27,0.4919467870861576,0.0,0.0408,0.6729999999999999,0.615,5.91e-05,0.141,0.7876889777981831,0.036566881394467614,0.22899999999999998,0.5101798309715956,4,2017-01-01,latin,reggaeton,reggaeton colombiano,,,,,,,,"latin,reggaeton,reggaeton colombiano",790FomKkXshlbRYZFtlgla,11614405,0.8888888888888888,NormalPeriod,0.0004529034334523585
205,La Dama,KAROL G,20975,2018-01-08,18Lf9mbzkZnQDjksUhpIqY,2018,1824783,Unstoppable,2017-10-27,0.3881758647576861,0.0,0.122,0.8420000000000001,0.7709999999999999,0.000167,0.0967,0.8249762240514217,0.32550208412277376,0.75,0.2874880854038254,4,2017-01-01,latin,reggaeton,reggaeton colombiano,,,,,,,,"latin,reggaeton,reggaeton colombiano",790FomKkXshlbRYZFtlgla,11614405,0.8888888888888888,NormalPeriod,0.0025038946332112217
266,Ahora Me Llama,KAROL G,28711,2018-01-10,0alSPoUfrGb0RdVVG4Lf3n,2018,1143790,Unstoppable,2017-10-27,0.4523384693394309,0.6947368421052632,0.00949,0.6459999999999999,0.573,3.98e-05,0.0932,0.8305512740628996,0.03372489579386132,0.109,0.5098303361504735,4,2017-01-01,latin,reggaeton,reggaeton colombiano,,,,,,,,"latin,reggaeton,reggaeton colombiano",790FomKkXshlbRYZFtlgla,11614405,0.8888888888888888,NormalPeriod,0.0015694631320659297
310,Pineapple,KAROL G,45113,2018-03-02,24snQ8Ew7aIKYCt0ulXHvx,2018,375645,Pineapple,2018-03-02,0.3162925083832822,0.0,0.0508,0.782,0.6709999999999999,2.49e-06,0.38799999999999996,0.8600990391237333,0.07351269420234938,0.667,0.2556649933278261,4,2018-01-01,latin,reggaeton,reggaeton colombiano,,,,,,,,"latin,reggaeton,reggaeton colombiano",790FomKkXshlbRYZFtlgla,11614405,0.8888888888888888,NormalPeriod,0.0005154451238819243
318,Hello,KAROL G,20972,2017-01-08,1PGENMzwUy16wlpZiuLS65,2017,976199,Hello,2016-11-04,0.3559654049089439,0.0,0.449,0.8059999999999999,0.82,1.9699999999999998e-05,0.11699999999999999,0.8768569835699996,0.0729442970822281,0.845,0.2556904111329987,4,2016-01-01,latin,reggaeton,reggaeton colombiano,,,,,,,,"latin,reggaeton,reggaeton colombiano",790FomKkXshlbRYZFtlgla,11614405,0.8888888888888888,NormalPeriod,0.002509304472988122
359,Alocao (With Bad Gyal),Omar Montes,271744,2020-01-08,6RyuoOJXNzlVWpfC5xQyeI,2020,14924501,Alocao (With Bad Gyal),2019-10-24,0.3903763268547265,0.7578947368421053,0.214,0.6729999999999999,0.752,1.53e-06,0.106,0.863706424425278,0.06347101174687382,0.6990000000000001,0.7832369574887208,4,2019-01-01,flamenco urbano,trap espanol,,,,,,,,,"flamenco urbano,trap espanol",3lY9Fxceu60W1rbon7PkuF,226823,0.7373737373737373,NormalPeriod,0.012970336440606094
