,name,artist,album,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,time_signature,spotify_id,release_date_year,genre1,genre2,genre3,genre4,genre5,genre6,genre7,genre8,genre9,genre10,10,11,12,genres_together,artist_id,artist_followers,artist_popularity
0,Mess Around (feat. B00sted),Enrey,Mess Around (feat. B00sted),2018-11-05,0.28104123506341305,0.0,0.0969,0.643,0.842,0.0,0.103,0.9160604515072611,0.157725321888412,0.131,0.3621801840979923,4,2uNXNNIs1gpxVac4s9oW2s,2018,,,,,,,,,,,,,,,3QfW1vNOZSUUE1aQeOAC8X,1123,18
1,Show You,JJ Young,Show You,2019-09-02,0.16219021522223837,0.17,0.0651,0.584,0.779,0.0,0.0584,0.8994711835288431,0.22746781115879827,0.216,0.7731584160807904,4,3NodDyiiU5ncq4EHsdE6Tf,2019,,,,,,,,,,,,,,,65xpK3aDoQFRyk2YV15ywx,99,7
2,Chances Are,Muenster,Weirdope,2020-06-30,0.19931996485591913,0.27,0.024,0.653,0.805,0.0,0.396,0.7957211499744987,0.203862660944206,0.914,0.6767993041965644,4,2a9dAn2fmxI9cV9e9Hl1cS,2020,,,,,,,,,,,,,,,2DPMosZa5TBJmERNH6oPC3,9112,29
3,Not This Time,Ashlii,Not This Time,2020-08-14,0.18796301127797813,0.29,0.19,0.518,0.621,0.0,0.122,0.8162295654041284,0.4259656652360515,0.689,0.6474161049503514,4,4dVKCBhgHauDV4FcoLFma0,2020,,,,,,,,,,,,,,,1sVpPtWTMrItmmy2y4CznH,648,16
4,This Is Not My President,George D. Van Currant,This Is Not My President,2020-06-10,0.2224865706456667,0.14,0.0014,0.71,0.566,0.697,0.111,0.7231095482243041,0.04560085836909871,0.335,0.5699209973182575,4,5nPzvevFceAk4AAGqwJsKd,2020,,,,,,,,,,,,,,,43p4wOmaJgejZzTzENNYva,459,22
5,Sugar Cookie,George D. Van Currant,Sugar Cookie,2020-05-04,0.19379027219739353,0.18,0.0147,0.786,0.515,0.849,0.061,0.7505704238584812,0.07027896995708155,0.721,0.47793964871590444,4,6z6hLe6rcI8LG8TUQlMixI,2020,,,,,,,,,,,,,,,43p4wOmaJgejZzTzENNYva,459,22
6,Future Funk,George D. Van Currant,Future Funk,2020-08-24,0.11059667372274817,0.11,0.12,0.655,0.797,0.839,0.275,0.7178482269884304,0.043133047210300424,0.595,0.5939503756855355,4,3WEryv0uMgHVLlcrWk81y6,2020,,,,,,,,,,,,,,,43p4wOmaJgejZzTzENNYva,459,22
7,People,George D. Van Currant,People,2020-09-05,0.21320413323724652,0.0,0.00882,0.603,0.465,0.833,0.0903,0.7557780581429683,0.06952789699570815,0.271,0.9366045758739823,4,4w4Rrfolzvacj1PorK1Qgs,2020,,,,,,,,,,,,,,,43p4wOmaJgejZzTzENNYva,459,22
8,Sigue el Paso,Limber De Coco,Sigue el Paso,2020-08-27,0.21853074613478574,0.18,0.0896,0.702,0.775,0.0299,0.227,0.8752583684535472,0.05268240343347639,0.735,0.4833562851827692,4,4W0EL63uyBp0xu2omYFwAr,2020,,,,,,,,,,,,,,,11tDOoVVUQlHM6qYasQMkx,148,7
9,Not Yet,Joshbrappin,Not Yet,2020-08-24,0.24448687808586042,0.11,0.191,0.734,0.664,4.84e-05,0.173,0.832443024722841,0.2167381974248927,0.692,0.6567031480273489,4,2tIXdsfsUWTkoErjTRh6Gn,2020,,,,,,,,,,,,,,,2oquQxGby0jWLStBm5MbCS,109,3
