,name,artist,album,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,time_signature,spotify_id,release_date_year
0,SICKO MODE,Travis Scott,ASTROWORLD,2018-08-03,0.8775541035615817,0.8548387096774194,0.00513,0.834,0.73,0.0,0.124,0.9035684180949706,0.4235477409303361,0.446,0.7468412913932263,4,2xLMifQCjDGFmkHkpNLD9h,2018
1,Toxic,Britney Spears,In The Zone,2003-11-13,0.4469161914114137,0.6935483870967742,0.0249,0.774,0.838,0.025,0.242,0.8923293059848273,0.18317382595148013,0.924,0.6339952477936184,4,6I9VzXrHxO9rA9A5euc8Ak,2003
2,ROCKSTAR (feat. Roddy Ricch),DaBaby,BLAME IT ON BABY,2020-04-17,0.38245647165464364,1.0,0.247,0.746,0.69,0.0,0.101,0.6651868502388312,0.2944580458490986,0.497,0.1336652334615675,4,7ytR5pFWmSjzHJIeQkgog4,2020
3,Safaera,Bad Bunny,YHLQMDLG,2020-02-28,0.8109151338897911,0.8225806451612904,0.0103,0.607,0.829,0.0,0.107,0.8833380162967126,0.7729801914088582,0.685,0.192077770234593,4,2DEZmgHKAvm41k4J3R2E9Y,2020
4,The Box,Roddy Ricch,Please Excuse Me For Being Antisocial,2019-12-06,0.43880348982135436,0.8709677419354839,0.104,0.896,0.586,0.0,0.79,0.7364990165776903,0.05386156243044737,0.642,0.38819114430112395,4,0nbXyq5TXYPCO7pr3N8S4I,2019
5,Yo Perreo Sola,Bad Bunny,YHLQMDLG,2020-02-28,0.3461759262756355,0.8225806451612904,0.021,0.86,0.758,6.54e-05,0.344,0.8223096375386345,0.08413087024259962,0.453,0.2000169721656483,4,0SqqAgdovOE24BzxIClpjw,2020
6,Mask Off,Future,FUTURE,2017-06-30,0.4688219964497488,0.7096774193548387,0.0102,0.833,0.434,0.0219,0.165,0.61803877493678,0.8887157801023815,0.281,0.7002055517839633,4,0VgkVdmE4gld66l8iyGjgx,2017
7,La Jeepeta - Remix,Nio Garcia,La Jeepeta (Remix),2020-04-24,1.0,0.8870967741935484,0.3,0.815,0.715,4.83e-06,0.091,0.8509693734194999,0.3901624749610505,0.786,0.9448404616429057,4,1mohfLaTJtB2RplHLQVM70,2020
8,Don't Stand So Close To Me,The Police,Zenyatta Mondatta (Remastered 2003),1980-10-03,0.612592061034105,0.5161290322580645,0.0453,0.799,0.506,0.00107,0.0365,0.5832537229558865,0.06432227910082351,0.518,0.6082447009127253,4,5veJDT0MLsLbhYsx42GXUD,1980
9,Amarillo,J Balvin,Colores,2020-03-19,0.29181176115118784,0.7580645161290323,0.013,0.641,0.857,0.00534,0.0695,0.7905591458274797,0.5993768083685733,0.961,0.44247378743305416,5,6zEgnpM0qYmHLDnh8WPejL,2020
10,Tusa,KAROL G,Tusa,2019-11-07,0.4550742153567247,0.8709677419354839,0.295,0.803,0.715,0.000134,0.0574,0.9279572913739814,0.5926997551747162,0.574,0.2384023534736365,4,7k4t7uLgtOxPwTpFmtJNTY,2019
11,death bed (coffee for your head),Powfu,death bed (coffee for your head),2020-02-08,0.3507308229784341,0.9193548387096774,0.731,0.726,0.431,0.0,0.696,0.6197246417533014,0.22991319830847987,0.348,0.6432922229765408,4,7eJMfftS33KTjuF7lTsMCx,2020
12,La Santa,Bad Bunny,YHLQMDLG,2020-02-28,0.4756958869962609,0.7580645161290323,0.0326,0.744,0.868,0.0,0.0822,0.8580500140488901,0.03405297128867127,0.586,0.16251791506373994,4,69vlMrzHwATKzupwNcUPyK,2020
13,U Can't Touch This,MC Hammer,Please Hammer Don't Hurt 'Em,1990-02-20,0.6680892850398459,0.5967741935483871,0.00456,0.867,0.517,0.000339,0.0864,0.3692610283787581,0.12419318940574227,0.866,0.5407237685750924,4,1B75hgRqe7A4fwee3g3Wmu,1990
14,Work from Home (feat. Ty Dolla $ign),Fifth Harmony,7/27 (Deluxe),2016-05-27,0.5061374022736715,0.6774193548387096,0.103,0.803,0.585,3.94e-06,0.0644,0.7829165495925822,0.025595370576452267,0.593,0.27547710643433654,4,4tCtwWceOPWzenK2HAIJSb,2016
15,TKN (feat. Travis Scott),ROSALÍA,TKN (feat. Travis Scott),2020-05-28,0.18468859765079126,0.8548387096774194,0.192,0.776,0.509,1.49e-06,0.115,0.760157347569542,0.9688404184286669,0.485,0.17757599758618087,4,4w47S36wQGBhGg073q3nt7,2020
16,Blinding Lights,The Weeknd,Blinding Lights,2019-11-29,0.45738943233750046,0.11290322580645161,0.00147,0.513,0.796,0.000209,0.0938,0.8832818207361619,0.06944135321611396,0.345,0.8977898468733498,4,0sf12qNH5qcw8qpgymFOqD,2019
17,Elegí (feat. Dímelo Flow),Rauw Alejandro,Elegí (feat. Dímelo Flow),2020-03-26,0.4428409563016958,0.8387096774193549,0.237,0.824,0.631,0.000116,0.0531,0.9554369204832819,0.10950367237925662,0.678,0.9067285207814739,4,50ZC4PM7hywH27RcCfViau,2020
18,Ballin' (with Roddy Ricch),Mustard,Perfect Ten,2019-06-28,0.3775503266986441,0.7903225806451613,0.392,0.809,0.545,0.0,0.151,0.7370047766226469,0.09303360783440907,0.244,0.19996039828015383,4,3QzAOrNlsabgbMwlZt7TAY,2019
19,Azul,J Balvin,Colores,2020-03-19,0.47385655474562827,0.8387096774193549,0.0816,0.843,0.836,0.00138,0.0532,0.973250913177859,0.08413087024259962,0.65,0.17176774534208342,4,2lCkncy6bIB0LTMT7kvrD1,2020
20,A Tu Merced,Bad Bunny,YHLQMDLG,2020-02-28,0.3604940136722438,0.7096774193548387,0.169,0.86,0.791,0.000106,0.106,0.843439168305704,0.05586467838860451,0.887,0.15295692841517683,4,4r9jkMEnArtWGH2rL2FZl0,2020
21,Hawái,Maluma,Hawái,2020-07-29,0.45219246893530235,0.967741935483871,0.189,0.787,0.728,2.29e-05,0.0629,0.9181230682776063,0.795237035388382,0.545,0.983112695179905,4,4uoR6qeWeuL4Qeu2qJzkuG,2020
22,Diosa,Myke Towers,Easy Money Baby,2020-01-24,0.5043736072817917,0.7741935483870968,0.398,0.801,0.745,0.00603,0.153,0.9025007024445069,0.0696639216559092,0.245,0.274986799426718,4,3JHpk0DOTOzyh0777JFAky,2020
23,Blinding Lights,The Weeknd,After Hours,2020-03-20,0.4515995014540922,1.0,0.00146,0.514,0.73,9.54e-05,0.0897,0.7788142736723799,0.06254173158246161,0.334,0.897676699102361,4,0VjIjW4GlUZAMYd2vXMi3b,2020
24,Negro,J Balvin,Colores,2020-03-19,0.38381614231219546,0.6774193548387096,0.0157,0.795,0.911,0.206,0.131,0.9870750210733352,0.12419318940574227,0.8,0.8323904352417589,4,2hsA9YWuF3C9Gosi4dpjJN,2020
25,Supalonely,BENEE,STELLA & STEVE,2019-11-15,0.5401291687124674,0.8387096774193549,0.305,0.863,0.631,3.04e-05,0.123,0.848777746558022,0.048297351435566446,0.817,0.5013954891755299,4,4nK5YrxbMGZstTLbvj6Gxw,2019
26,Roses - Imanbek Remix,SAINt JHN,Roses (Imanbek Remix),2019-10-09,0.3639762813007516,0.9193548387096774,0.0167,0.77,0.724,0.0107,0.353,0.8041022759202023,0.0396171822835522,0.898,0.4353737648035,4,24Yi9hE78yPEbZ4kxyoXAI,2019
27,Con Altura,ROSALÍA,Con Altura,2019-03-28,0.30651508856743587,0.7096774193548387,0.39,0.882,0.689,0.00325,0.0501,0.8859792076425962,0.20543066993100378,0.746,0.20896507505468803,4,2qG5sZ7Si6sdK74qLxedYM,2019
28,Toosie Slide,Drake,Toosie Slide,2020-04-03,0.6291800430562375,0.8387096774193549,0.321,0.834,0.454,6.15e-06,0.114,0.5643720146108457,0.3768083685733363,0.837,0.05484838198687479,4,127QTOFJsJQp5LbJbu3A1y,2020
29,Watermelon Sugar,Harry Styles,Fine Line,2019-12-13,0.3532499905578427,0.967741935483871,0.122,0.548,0.816,0.0,0.335,0.8757516156223659,0.03294012908969508,0.557,0.1847043071584823,4,6UelLqGlWMcVH1E5c4H7lY,2019
30,Money In The Grave (Drake ft. Rick Ross),Drake,The Best In The World Pack,2019-06-15,0.4719416852362428,0.7580645161290323,0.101,0.831,0.502,0.0,0.122,0.8849676875526834,0.0318272868907189,0.101,0.23327298785547254,4,5ry2OE6R2zPQFDO85XkgRb,2019
