,name,artist,album,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,time_signature,spotify_id,release_date_year
0,Someone You Loved,Lewis Capaldi,Divinely Uninspired To A Hellish Extent,2019-05-17,0.2809499346356092,1.0,0.751,0.501,0.405,0.0,0.105,0.7494904891304348,0.006458797327394202,0.446,0.30636650868878357,4,7qEHsqek33rTcFNT9PFqLf,2019
1,bad guy,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29,0.3307647007229761,0.9775280898876404,0.328,0.701,0.425,0.13,0.1,0.3006114130434783,0.7706013363028953,0.562,0.5057109004739335,4,2Fxmhks0bxGSBdJ92vM42m,2019
2,I Don't Care (with Justin Bieber),Ed Sheeran,No.6 Collaborations Project,2019-07-12,0.4387683928713136,0.8651685393258427,0.0902,0.798,0.676,0.0,0.0894,0.8036684782608696,0.03385300668151448,0.843,0.24368878357030013,4,0hVXuCcriWRGvwMV1r5Yn9,2019
3,Vossi Bop,Stormzy,Vossi Bop,2019-04-26,0.33986559577658326,0.7865168539325843,0.13,0.682,0.653,0.00116,0.129,0.7169667119565218,0.690423162583519,0.428,0.9242496050552922,4,44ZJ4hLD5onikKsVLQaILr,2019
4,7 rings,Ariana Grande,"thank u, next",2019-02-08,0.26618969456243446,0.9438202247191011,0.592,0.778,0.317,0.0,0.0881,0.320397418478261,0.6792873051224945,0.327,0.5445734597156398,4,6ocbgoVGwYJhOv1GgI9NsF,2019
5,Piece Of Your Heart,MEDUZA,Piece Of Your Heart,2019-02-01,0.1587957916191574,0.9101123595505618,0.0404,0.677,0.744,0.00016,0.074,0.6537873641304348,0.0011135857461024433,0.631,0.4184439178515007,4,1DFD5Fotzgn6yYXkYsKiGs,2019
6,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,Hollywood's Bleeding,2019-09-06,0.17820463022132008,0.9101123595505618,0.533,0.755,0.522,0.0,0.0685,0.8608186141304348,0.06347438752783965,0.925,0.14893364928909944,4,0RiRZpuVRbi7oqRdSMwhQY,2019
7,Wow.,Post Malone,Hollywood's Bleeding,2019-09-06,0.14473305015725044,0.9213483146067416,0.136,0.829,0.539,1.78e-06,0.103,0.606827445652174,0.3986636971046771,0.388,0.2279225908372827,4,7xQAfvXzm3AkraOtGPWIZg,2019
8,Location (feat. Burna Boy),Dave,PSYCHODRAMA,2019-03-08,0.5279270926002497,0.8426966292134831,0.271,0.812,0.496,0.0,0.0955,0.7248641304347827,0.5968819599109131,0.55,0.3070616113744075,4,3z4CGd63tpUn9a6oQSG0CI,2019
9,Old Town Road - Remix,Lil Nas X,7 EP,2019-06-21,0.17614137085625264,0.9213483146067416,0.0533,0.878,0.619,0.0,0.113,0.7595957880434783,0.16258351893095768,0.639,0.5129225908372826,4,2YpeDb67231RjR0MgVLzsG,2019
10,Don't Call Me Up,Mabel,Ivy To Roses (Mixtape),2019-01-18,0.2655799053573741,0.898876404494382,0.296,0.674,0.881,3.01e-06,0.0793,0.9894701086956523,0.26280623608017817,0.234,0.22029225908372824,4,5WHTFyqSii0lmT9R21abT8,2019
11,Sweet but Psycho,Ava Max,Sweet but Psycho,2018-08-17,0.3029858787856006,0.9213483146067416,0.0691,0.719,0.704,0.0,0.166,0.8305876358695653,0.041425389755011144,0.628,0.4889178515007899,4,25sgk305KZfyuqVBQIahim,2018
12,Giant (with Rag'n'Bone Man),Calvin Harris,Giant (with Rag'n'Bone Man),2019-01-11,0.4773521783257527,0.8651685393258427,0.016,0.807,0.887,0.000503,0.0811,0.8656589673913044,0.015812917594654786,0.606,0.4021327014218009,4,5itOtNx0WxtJmi1TQ3RuRd,2019
13,Ladbroke Grove,AJ Tracey,AJ Tracey,2019-02-08,0.31593763443554823,0.8089887640449438,0.0939,0.903,0.839,0.0,0.102,0.4295176630434784,0.3986636971046771,0.727,0.49669036334913097,4,7b4ky1LlQLFhXHmhZkFgqV,2019
14,Señorita,Shawn Mendes,Shawn Mendes (Deluxe),2019-06-19,0.3170319136939443,0.898876404494382,0.0392,0.759,0.548,0.0,0.0828,0.718070652173913,0.0,0.749,0.362259083728278,4,6v3KW9xbzN5yKLt9YKDYA2,2019
15,3 Nights,Dominic Fike,"Don't Forget About Me, Demos",2018-10-16,0.2621801217072427,0.8876404494382022,0.223,0.815,0.518,0.0,0.104,0.6717900815217391,0.13518930957683745,0.877,0.6381200631911531,4,1tNJrcVe6gwLEiZCtprs1u,2018
16,Options,NSG,Options,2018-11-30,0.5228650068705701,0.7078651685393258,0.387,0.836,0.621,9.16e-05,0.104,0.8338994565217391,0.134075723830735,0.762,0.24399684044233805,4,2cytBOLpwFRX7J9URCrFIe,2018
17,Hold Me While You Wait,Lewis Capaldi,Divinely Uninspired To A Hellish Extent,2019-05-17,0.3792095294181525,0.898876404494382,0.443,0.688,0.53,0.0,0.0995,0.7640964673913044,0.009576837416481073,0.162,0.28319905213270136,4,60iSKGrGazRzICtMjADNSM,2019
18,"break up with your girlfriend, i'm bored",Ariana Grande,"thank u, next",2019-02-08,0.3155325005116382,0.8764044943820225,0.0421,0.726,0.554,0.0,0.106,0.7825237771739131,0.13964365256124725,0.335,0.7811532385466033,4,4kV4N9D1iKVxx1KLvtTpjS,2019
19,Beautiful People (feat. Khalid),Ed Sheeran,No.6 Collaborations Project,2019-07-12,0.3465482172019029,0.8539325842696629,0.124,0.64,0.647,0.0,0.0801,0.5427139945652174,0.3496659242761693,0.546,0.172780410742496,4,70eFcWOvlMObDhURTqT4Fv,2019
20,Shallow,Lady Gaga,A Star Is Born Soundtrack,2018-10-05,0.4211722153307689,0.9438202247191011,0.371,0.572,0.385,0.0,0.231,0.691491168478261,0.004008908685968819,0.323,0.19505529225908375,4,2VxeLyX666F8uXCJ0dZF8B,2018
21,Sucker,Jonas Brothers,Happiness Begins,2019-06-07,0.2762136267004139,0.9213483146067416,0.0427,0.842,0.734,0.0,0.106,0.8016304347826089,0.06636971046770601,0.952,0.5280647709320694,4,22vgEDb5hykfaTwLuskFGD,2019
22,Dancing With A Stranger (with Normani),Sam Smith,Dancing With A Stranger (with Normani),2019-01-11,0.23445977270733878,0.9213483146067416,0.45,0.741,0.52,1.97e-06,0.222,0.5937500000000001,0.08151447661469936,0.347,0.25191943127962085,4,6Qs4SXO9dwPj5GKvVOv8Ki,2019
23,"thank u, next",Ariana Grande,"thank u, next",2019-02-08,0.38603415654876017,0.9213483146067416,0.229,0.717,0.653,0.0,0.101,0.753311820652174,0.08195991091314032,0.412,0.28326224328593985,4,3e9HZxeyfWwjeyPAMmWSSQ,2019
24,SOS (feat. Aloe Blacc),Avicii,TIM,2019-06-06,0.1767093936774048,0.8539325842696629,0.272,0.802,0.645,0.0,0.119,0.7068614130434784,0.09465478841870824,0.376,0.22824644549763032,4,2x0RZdkZcD8QRI53XT4GI5,2019
25,bury a friend,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29,0.3268219540820375,0.8876404494382022,0.74,0.905,0.389,0.162,0.106,0.0,0.6748329621380846,0.196,0.38657977883096367,4,4SSnFejRGlZikf02HLewEF,2019
26,Just You and I,Tom Walker,What a Time To Be Alive,2019-03-01,0.2509700242662691,0.7191011235955056,0.456,0.567,0.696,0.0,0.113,0.7718240489130436,0.6057906458797327,0.544,0.16552922590837285,4,03x2rVJRFUrvwlfxoHd9Mo,2019
27,Bruises,Lewis Capaldi,Divinely Uninspired To A Hellish Extent,2019-05-17,0.4410488374327039,0.9213483146067416,0.946,0.736,0.308,0.0,0.186,0.5668308423913044,0.08619153674832962,0.361,0.31672195892575034,4,4Of7rzpRpV1mWRbhp5rAqG,2019
28,Strike a Pose (feat. Aitch),Young T & Bugsey,Strike a Pose (feat. Aitch),2019-06-06,0.414781958592807,0.7303370786516854,0.0107,0.531,0.581,1.62e-05,0.101,0.7391304347826088,0.16035634743875282,0.591,0.5266271721958926,5,23GvTfcGK454ppLsts3W44,2019
29,Shotgun,George Ezra,Staying at Tamara's,2018-03-23,0.3608364971369144,0.8764044943820225,0.286,0.672,0.735,0.0,0.242,0.8298233695652176,0.03719376391982182,0.754,0.3525750394944707,4,4ofwffwvvnbSkrMSCKQDaC,2018
30,Grace,Lewis Capaldi,Divinely Uninspired To A Hellish Extent,2019-05-17,0.2955556390883234,0.7865168539325843,0.435,0.722,0.565,0.0,0.165,0.7351392663043479,0.010022271714922051,0.488,0.26364928909952606,4,0pEkK8MqbmGSX7fT8WLMbR,2019
31,Talk,Khalid,Talk,2019-02-07,0.3449652712517803,0.8202247191011236,0.0501,0.9,0.4,0.0,0.0876,0.5147758152173915,0.2115812917594655,0.338,0.51260663507109,4,0rTV5WefWd1J3OwIheTzxM,2019
32,Happier,Marshmello,Happier,2018-08-17,0.41514114949441794,0.9438202247191011,0.191,0.687,0.792,0.0,0.167,0.9983016304347826,0.03608017817371937,0.671,0.22835703001579774,4,2dpaYNEQHiRxtZbfNsse99,2018
33,Ransom,Lil Tecca,We Love You Tecca,2019-08-30,0.06827550777481237,0.9213483146067416,0.0204,0.745,0.642,0.0,0.0658,0.7004076086956523,0.574610244988864,0.226,0.8599447077409161,4,1lOe9qE0vR9zwWQAOk6CoO,2019
34,High Hopes,Panic! At The Disco,Pray for the Wicked,2018-06-22,0.31764587953739554,0.9213483146067416,0.193,0.579,0.904,0.0,0.064,1.0,0.07305122494432072,0.681,0.08616903633491305,4,1rqqCSm0Qe4I9rUvWncaom,2018
35,Without Me,Halsey,Without Me,2018-10-04,0.36239438325669204,0.9101123595505618,0.297,0.752,0.488,9.11e-06,0.0936,0.6330672554347827,0.09242761692650334,0.533,0.5129225908372826,4,5p7ujcrUXASCNwRaWNHR1C,2018
36,Cross Me (feat. Chance the Rapper & PnB Rock),Ed Sheeran,No.6 Collaborations Project,2019-07-12,0.38129784861356486,0.7191011235955056,0.212,0.746,0.787,0.0,0.0669,0.6905570652173915,0.2026726057906459,0.607,0.1887835703001579,4,4wuCQX7JvAZLlrcmH4AeZF,2019
37,when the party's over,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29,0.3390762111207174,0.9438202247191011,0.978,0.367,0.111,3.97e-05,0.0897,0.035750679347826185,0.15189309576837418,0.198,0.09112954186413895,4,43zdsphuZLzwA9k4DJhU0I,2019
38,Eastside (with Halsey & Khalid),benny blanco,FRIENDS KEEP SECRETS,2018-12-07,0.23337384672572434,0.8202247191011236,0.549,0.632,0.686,0.0,0.2,0.5808423913043479,0.4766146993318486,0.329,0.14884676145339648,4,7FGq80cy8juXBCD2nrqdWU,2018
39,Fashion Week (feat. AJ Tracey & MoStack),Steel Banglez,Fashion Week (feat. AJ Tracey & MoStack),2019-03-21,0.36380608703279077,0.7303370786516854,0.272,0.694,0.757,0.000161,0.0995,0.645889945652174,0.3073496659242762,0.703,0.20586097946287515,4,78KyOmqWmqLkQcXO1cA7MO,2019
