,name,artist,album,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,time_signature,spotify_id,release_date_year
0,Safaera,Bad Bunny,YHLQMDLG,2020-02-28,0.1931780023613774,0.87,0.0103,0.607,0.829,0.0,0.107,0.8052532440351612,0.404951169657052,0.685,0.2834576647167212,4,2DEZmgHKAvm41k4J3R2E9Y,2020
1,Yo Perreo Sola,Bad Bunny,YHLQMDLG,2020-02-28,0.10432016522420448,0.87,0.021,0.86,0.758,6.54e-05,0.344,0.767371285056509,0.05348625936861231,0.453,0.28847862513938827,4,0SqqAgdovOE24BzxIClpjw,2020
2,Tusa,KAROL G,Tusa,2019-11-07,0.12514144795040386,0.9,0.295,0.803,0.715,0.000134,0.0574,0.8329496302497558,0.31296843061548946,0.574,0.31275455136347097,4,7k4t7uLgtOxPwTpFmtJNTY,2019
3,La Difícil,Bad Bunny,YHLQMDLG,2020-02-28,0.09778990962495983,0.84,0.0861,0.685,0.848,7.14e-06,0.0783,0.7882656620622297,0.07199636611401317,0.761,0.7825602127646887,4,6NfrH0ANGmgBXyxgV2PeXt,2020
4,Amarillo,J Balvin,Colores,2020-03-19,0.09392577187072361,0.83,0.013,0.641,0.857,0.00534,0.0695,0.7476628994000278,0.3163751987281399,0.961,0.4418147015152328,5,6zEgnpM0qYmHLDnh8WPejL,2020
5,Blinding Lights,The Weeknd,After Hours,2020-03-20,0.12447708489043426,0.98,0.00146,0.514,0.73,9.54e-05,0.0897,0.7403725408120552,0.04247104247104247,0.334,0.7296970130652307,4,0VjIjW4GlUZAMYd2vXMi3b,2020
6,Azul,J Balvin,Colores,2020-03-19,0.12873261914304387,0.88,0.0816,0.843,0.836,0.00138,0.0532,0.8610646016464351,0.05348625936861231,0.65,0.27061307000125223,4,2lCkncy6bIB0LTMT7kvrD1,2020
7,Say So,Doja Cat,Hot Pink,2019-11-07,0.15181201413937903,0.88,0.256,0.787,0.673,3.57e-06,0.0904,0.787707548486117,0.15398591869180103,0.786,0.3716524445875597,4,3Dv1eDb0MEgF93GpLXlucZ,2019
8,death bed (coffee for your head),Powfu,death bed (coffee for your head),2020-02-08,0.10519105853977333,0.93,0.731,0.726,0.431,0.0,0.696,0.6416213199386075,0.1278673631614808,0.348,0.5688175697835979,4,7eJMfftS33KTjuF7lTsMCx,2020
9,Supalonely,BENEE,STELLA & STEVE,2019-11-15,0.14140390024444227,0.88,0.305,0.863,0.631,3.04e-05,0.123,0.7838007534533278,0.035203270497388146,0.817,0.4790783377162382,4,4nK5YrxbMGZstTLbvj6Gxw,2019
10,Si Veo a Tu Mamá,Bad Bunny,YHLQMDLG,2020-02-28,0.10348537859667746,0.83,0.402,0.9,0.603,4.81e-06,0.134,0.762034323984931,0.04792187145128322,0.824,0.48474927995134076,4,41wtwzCZkXwpnakmwJ239F,2020
11,Tattoo,Rauw Alejandro,Tattoo,2020-02-13,0.126532277573775,0.83,0.0217,0.755,0.617,0.0,0.0625,0.7679293986326218,0.18124006359300476,0.745,0.8661991568125845,4,7na7Bk98usp84FaOJFPv3d,2020
12,Callaita,Bad Bunny,Callaita,2019-05-31,0.16093978487635266,0.83,0.6,0.61,0.624,2.12e-06,0.243,0.7808706571787358,0.3254599136952078,0.244,0.7604906468213505,4,2TH65lNHgvLxCKXM3apjxI,2019
13,La Santa,Bad Bunny,YHLQMDLG,2020-02-28,0.12908429828457124,0.83,0.0326,0.744,0.868,0.0,0.0822,0.7895562997069904,0.027935498523733816,0.586,0.2647632336893326,4,69vlMrzHwATKzupwNcUPyK,2020
14,Diosa,Myke Towers,Easy Money Baby,2020-01-24,0.13456745993060296,0.84,0.398,0.801,0.745,0.00603,0.153,0.8171480396260639,0.04610492845786963,0.245,0.3358915186318181,4,3JHpk0DOTOzyh0777JFAky,2020
15,La Jeepeta - Remix,Nio Garcia,La Jeepeta (Remix),2020-04-24,0.22933090696389694,0.91,0.3,0.815,0.715,4.83e-06,0.091,0.7851611552951026,0.20962979786509195,0.786,0.759524618806538,4,1mohfLaTJtB2RplHLQVM70,2020
16,LA CANCIÓN,J Balvin,OASIS,2019-06-28,0.15519160014009395,0.84,0.152,0.754,0.646,1.85e-05,0.108,0.7452211525045346,0.33454462866227574,0.429,0.7600135959498381,4,0fea68AdmYNygeTGI4RC18,2019
17,Jangueo,Alex Rose,LOST,2019-11-08,0.16748737168585737,0.76,0.238,0.851,0.688,1.93e-05,0.105,0.8065089995814148,0.03872359754712696,0.732,0.3300297560481106,4,5m3jpKkgkfoMcym1qjToFg,2019
18,"Agua (with J Balvin) - Music From ""Sponge On The Run"" Movie",Tainy,"Agua (with J Balvin) [Music From ""Sponge On The Run"" Movie]",2020-07-09,0.09407814209426012,0.92,0.162,0.76,0.658,0.0,0.195,0.7633598437281988,0.28684987508516924,0.565,0.3074891023691539,4,1pqnQ41XbfKjaFu6M0eGJp,2020
19,Blinding Lights,The Weeknd,Blinding Lights,2019-11-29,0.12558411594579663,0.43,0.00147,0.513,0.796,0.000209,0.0938,0.8052183619366541,0.045991369520781276,0.345,0.7297685706959576,4,0sf12qNH5qcw8qpgymFOqD,2019
20,Hola - Remix,Dalex,Hola (Remix),2019-11-01,0.16020826337662525,0.84,0.471,0.654,0.672,0.0,0.0781,0.7387679642807311,0.3277310924369748,0.343,0.7944089637858757,4,5stPVcRqb4qixbafP9e8lt,2019
21,RITMO (Bad Boys For Life),Black Eyed Peas,RITMO (Bad Boys For Life),2019-10-12,0.140128612022805,0.84,0.0334,0.721,0.716,0.00084,0.237,0.7018975861587833,0.049171019759255044,0.667,0.3360644495727413,4,6cy3ki60hLwimwIje7tALf,2019
22,Elegí (feat. Dímelo Flow),Rauw Alejandro,Elegí (feat. Dímelo Flow),2020-03-26,0.12280245669905436,0.88,0.237,0.824,0.631,0.000116,0.0531,0.8500069764197014,0.06643197819668407,0.678,0.7354216235233785,4,50ZC4PM7hywH27RcCfViau,2020
23,Watermelon Sugar,Harry Styles,Fine Line,2019-12-13,0.10567272175825128,0.96,0.122,0.548,0.816,0.0,0.335,0.8005441607367099,0.02736770383829207,0.557,0.2787944924476884,4,6UelLqGlWMcVH1E5c4H7lY,2019
24,Caramelo,Ozuna,Caramelo,2020-06-11,0.13711875850763838,0.92,0.0531,0.728,0.806,0.000301,0.153,0.8159969303753314,0.0453100158982512,0.698,0.7122786931191375,4,3gD4J3RUHy4OUuZ3qAiaiG,2020
25,La Curiosidad,Jay Wheeler,Platonicos,2020-06-12,0.13820340341641482,0.93,0.269,0.845,0.677,0.000917,0.108,0.7799986047160596,0.1290029525323643,0.68,0.24673071074616723,4,4HYDUMY0xSpeBr0AMY9cUz,2020
26,Toxic,Britney Spears,In The Zone,2003-11-13,0.12358163902699697,0.79,0.0249,0.774,0.838,0.025,0.242,0.8108343797962885,0.10401998637292754,0.924,0.5629379177922085,4,6I9VzXrHxO9rA9A5euc8Ak,2003
27,Negro,J Balvin,Colores,2020-03-19,0.11151695028470124,0.78,0.0157,0.795,0.911,0.206,0.131,0.8696455978791684,0.07392686804451509,0.8,0.6884082601358401,4,2hsA9YWuF3C9Gosi4dpjJN,2020
28,Don't Start Now,Dua Lipa,Don't Start Now,2019-10-31,0.11238134439642256,0.87,0.0125,0.794,0.793,0.0,0.0952,0.7896609460025115,0.07017942312059958,0.677,0.44904798535453827,4,6WrI0LAC5M1Rw2MnX2ZvEg,2019
29,Rojo,J Balvin,Colores,2020-03-19,0.0888614478059771,0.82,0.193,0.663,0.598,8.02e-05,0.0856,0.8063694711873866,0.1676129911424029,0.4,0.7370913015736715,4,380HmhwTE2NJgawn1NwkXi,2020
30,Hawái,Maluma,Hawái,2020-07-29,0.12459045989088559,0.96,0.189,0.787,0.728,2.29e-05,0.0629,0.8268452630110228,0.4163070633658869,0.545,0.7837289873998938,4,4uoR6qeWeuL4Qeu2qJzkuG,2020
31,Roses - Imanbek Remix,SAINt JHN,Roses (Imanbek Remix),2019-10-09,0.107723581639027,0.93,0.0167,0.77,0.724,0.0107,0.353,0.756069485140226,0.03077447195094254,0.898,0.4373244601871232,4,24Yi9hE78yPEbZ4kxyoXAI,2019
32,Con Altura,ROSALÍA,Con Altura,2019-03-28,0.09673703860166019,0.8,0.39,0.882,0.689,0.00325,0.0501,0.8068927026649922,0.11537588008176243,0.746,0.294137641102703,4,2qG5sZ7Si6sdK74qLxedYM,2019
33,TKN (feat. Travis Scott),ROSALÍA,TKN (feat. Travis Scott),2020-05-28,0.0734438920121174,0.89,0.192,0.776,0.509,1.49e-06,0.115,0.728791684107716,0.5048830342947991,0.485,0.274286361711897,4,4w47S36wQGBhGg073q3nt7,2020
34,Sigues Con El,Dímelo Flow,Sigues Con El,2019-12-13,0.14360785248251534,0.84,0.11,0.883,0.668,0.000529,0.0734,0.8442165480675317,0.10288439700204406,0.676,0.23455995038670932,4,7sQKy5vlPQllr0k9IjYJv3,2019
35,Fantasias,Rauw Alejandro,Fantasias,2019-08-29,0.12423950288311904,0.83,0.143,0.879,0.703,0.0,0.0569,0.8001953397516394,0.054167612991142394,0.788,0.2705295860987376,4,6mAN61JH0dzyZpWslS11jy,2019
36,Tattoo - Remix with Camilo,Rauw Alejandro,Tattoo (Remix with Camilo),2020-07-09,0.14082619323577306,0.93,0.0413,0.848,0.637,0.0,0.0521,0.7683479838147064,0.15171473995003407,0.698,0.2883235836061468,4,4ZRrLHqzhGRXYj2qcB4s5S,2020
37,Sunday Best,Surfaces,Where the Light Is,2019-01-06,0.09453091996230462,0.88,0.183,0.878,0.525,0.0,0.0714,0.7090484163527278,0.04019986372927549,0.694,0.37797336863509784,4,1Cv1YLb4q0RzL6pybtaMLo,2019
38,Hasta Que Dios Diga,Anuel AA,Emmanuel,2020-05-29,0.15766635253848071,0.89,0.464,0.691,0.765,3.29e-06,0.203,0.78247523371006,0.10061321826027708,0.855,0.7476818309212447,4,06s3QtMJVXw1AJX3UfvZG1,2020
39,Djadja (feat. Maluma) - Remix,Aya Nakamura,Djadja (feat. Maluma) [Remix],2020-06-12,0.10050946536827017,0.91,0.175,0.791,0.682,0.0,0.0926,0.6917468954932329,0.15398591869180103,0.672,0.29454313434348856,4,6AzKhCHOms83jvNVLsz0Bt,2020
40,China,Anuel AA,China,2019-07-19,0.19789931288972656,0.82,0.0846,0.786,0.808,0.000289,0.0822,0.8182293846797823,0.07472178060413354,0.609,0.33626123305724015,4,2ksOAxtIxY8yElEWw8RhgK,2019
41,The Box,Roddy Ricch,Please Excuse Me For Being Antisocial,2019-12-06,0.12203049570872013,0.9,0.104,0.896,0.586,0.0,0.79,0.7141063206362495,0.03804224392459687,0.642,0.40748492817402815,4,0nbXyq5TXYPCO7pr3N8S4I,2019
42,The Less I Know The Better,Tame Impala,Currents,2015-07-17,0.1362334225168528,0.85,0.0115,0.64,0.74,0.00678,0.167,0.8049393051485978,0.006813536225300933,0.785,0.406936319671789,4,6K4t31amVTZDgR3sKmwUJJ,2015
43,PA' ROMPERLA,Bad Bunny,LAS QUE NO IBAN A SALIR,2020-05-10,0.12025982372714898,0.81,0.016,0.772,0.83,0.0,0.0843,0.7722896609460026,0.04258460140813082,0.697,0.2705713280499949,4,5XqCz18k96K8tx6DAYM97i,2020
44,SICKO MODE,Travis Scott,ASTROWORLD,2018-08-03,0.20591933043757696,0.89,0.00513,0.834,0.73,0.0,0.124,0.8178107994976979,0.2266636384283443,0.446,0.6343047281704504,4,2xLMifQCjDGFmkHkpNLD9h,2018
45,ROCKSTAR (feat. Roddy Ricch),DaBaby,BLAME IT ON BABY,2020-04-17,0.11125698213080008,0.98,0.247,0.746,0.69,0.0,0.101,0.6698409376308079,0.16079945491710196,0.497,0.24651603785398668,4,7ytR5pFWmSjzHJIeQkgog4,2020
46,Don't Stand So Close To Me,The Police,Zenyatta Mondatta (Remastered 2003),1980-10-03,0.15525875857985175,0.68,0.0453,0.799,0.506,0.00107,0.0365,0.6189828380075345,0.04337951396774926,0.518,0.546652593665957,4,5veJDT0MLsLbhYsx42GXUD,1980
47,A Tu Merced,Bad Bunny,YHLQMDLG,2020-02-28,0.10705777431153572,0.8,0.169,0.86,0.791,0.000106,0.106,0.7804869540951583,0.03906427435839201,0.887,0.25871661389291395,4,4r9jkMEnArtWGH2rL2FZl0,2020
48,It's The End Of The World As We Know It (And I Feel Fine),R.E.M.,Document (R.E.M. No. 5),1987-09-01,0.15834010333734116,0.69,0.0258,0.381,0.894,0.0,0.0251,0.6460513464490024,0.01657960481489893,0.797,0.9355623535304746,4,2oSpQ7QtIKTNFfA08Cy0ku,1987
49,UN DIA (ONE DAY) (Feat. Tainy),J Balvin,UN DIA (ONE DAY) (Feat. Tainy),2020-07-24,0.14773917972826106,0.94,0.00536,0.571,0.693,0.0,0.173,0.660143714245849,0.03645241880535998,0.393,0.7127855596701194,4,0EhpEsp4L0oRGM0vmeaN5e,2020
50,U Can't Touch This,MC Hammer,Please Hammer Don't Hurt 'Em,1990-02-20,0.16586979206158356,0.73,0.00456,0.867,0.517,0.000339,0.0864,0.48615180689270265,0.07392686804451509,0.866,0.5039505775297113,4,1B75hgRqe7A4fwee3g3Wmu,1990
51,El Efecto,Rauw Alejandro,El Efecto,2019-03-15,0.13682701646826043,0.84,0.406,0.849,0.781,0.0,0.0801,0.7856843867727082,0.15512150806268452,0.893,0.21111886318777315,4,4SJHHpKhcuXwDsCsPqshXj,2019
52,"Lean (feat. Towy, Osquel, Beltito & Sammy & Falsetto)",Super Yei,"Lean (feat. Towy, Osquel, Beltito & Sammy & Falsetto)",2017-03-31,0.1681697880898479,0.87,0.111,0.863,0.669,0.0,0.0569,0.7397446630389285,0.2947990006813536,0.947,0.6882949605538561,4,5DoLhdU27owX1NMrKLUbUl,2017
53,Morado,J Balvin,Morado,2020-01-09,0.12492914062471791,0.79,0.137,0.881,0.696,4.13e-05,0.0927,0.813485419282824,0.06506927095162388,0.781,0.2884070675086614,4,3mQ6SLdxxaL52Yte7KF2Ks,2020
54,"Ay, DiOs Mío!",KAROL G,"Ay, DiOs Mío!",2020-07-10,0.11697628151662533,0.93,0.512,0.718,0.712,0.00121,0.104,0.7950676712711037,0.17215534862593684,0.531,0.7835381670512889,4,7x4ASXYEKfQBCewcZhK776,2020
55,Relación,Sech,Relación,2020-04-02,0.11307748134186896,0.74,0.125,0.805,0.562,4.96e-06,0.148,0.8386354123064043,0.09379968203497614,0.767,0.736190868053692,4,4lMOQR1rRW5hJgJXOtKraL,2020
