Position,Track Name,Artist,Streams,date,region,spotify_id
1,Tusa,KAROL G,344475,2020-01-01,es,7k4t7uLgtOxPwTpFmtJNTY
2,Alocao (With Bad Gyal),Omar Montes,253372,2020-01-01,es,6RyuoOJXNzlVWpfC5xQyeI
3,Dance Monkey,Tones And I,216578,2020-01-01,es,1rgnBhdG2JDFTbYkYRZAku
4,China,Anuel AA,192148,2020-01-01,es,2ksOAxtIxY8yElEWw8RhgK
5,RITMO (Bad Boys For Life),Black Eyed Peas,188835,2020-01-01,es,6cy3ki60hLwimwIje7tALf
6,Indeciso,Reik,178743,2020-01-01,es,59s0s39NFWScuHDbHytI14
7,Vete,Bad Bunny,178724,2020-01-01,es,5DxXgozhkPLgrbKFY91w0c
8,Zorra,Bad Gyal,178187,2020-01-01,es,0OP1RzrglC008kj79Httv3
9,Whine Up,Nicky Jam,174681,2020-01-01,es,2pWOMNQJW3g2zmGjP0Vkb0
10,Blanco,J Balvin,171215,2020-01-01,es,2rc7BkzO8qepMFAxHtOrXc
11,+,Aitana,165164,2020-01-01,es,5Cbo7oz78gqkzV3EAM63VA
12,Aventura,Lunay,148271,2020-01-01,es,37zdqI4r1gswIzczSBkRon
13,Hola - Remix,Dalex,144469,2020-01-01,es,5stPVcRqb4qixbafP9e8lt
14,Easy - Remix,Jhay Cortez,143325,2020-01-01,es,0Cn8NxJZz7zUlsaA3rXoIU
15,Fantasias,Rauw Alejandro,135951,2020-01-01,es,6mAN61JH0dzyZpWslS11jy
16,Rueda,Chimbala,133162,2020-01-01,es,71NGDQ9vSPXm55pyWeAxKK
17,Si por mi fuera,Beret,131387,2020-01-01,es,3W87IIdSOE63W0Qyhy7r2b
18,"Yo x Ti, Tu x Mi",ROSALÍA,124730,2020-01-01,es,7BlBVFwvbWvcwNcUarQmjk
19,Adicto (with Anuel AA & Ozuna),Tainy,120407,2020-01-01,es,3jbT1Y5MoPwEIpZndDDwVq
20,La Rubia - Remix 2,La Nueva Escuela,115707,2020-01-01,es,7KKTnv81z6DmfPIGsZWjOW
