,Position,Track Name,Artist,Streams,date,spotify_id,year,Streamstotal,album,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,time_signature
0,5,Rojo,J Balvin,327388,2020-03-14,4uziEsK1yiqdauKVDPsmVG,2020,1959771,Rojo,2020-02-27,150853,84,0.15,0.652,0.595,0.000115,0.0842,-4.04,0.113,0.444,172.27,4
1,5,Rojo,J Balvin,303106,2020-03-15,4uziEsK1yiqdauKVDPsmVG,2020,1959771,Rojo,2020-02-27,150853,84,0.15,0.652,0.595,0.000115,0.0842,-4.04,0.113,0.444,172.27,4
2,5,Rojo,J Balvin,326017,2020-03-16,4uziEsK1yiqdauKVDPsmVG,2020,1959771,Rojo,2020-02-27,150853,84,0.15,0.652,0.595,0.000115,0.0842,-4.04,0.113,0.444,172.27,4
3,4,Rojo,J Balvin,335791,2020-03-17,4uziEsK1yiqdauKVDPsmVG,2020,1959771,Rojo,2020-02-27,150853,84,0.15,0.652,0.595,0.000115,0.0842,-4.04,0.113,0.444,172.27,4
4,4,Rojo,J Balvin,335856,2020-03-18,4uziEsK1yiqdauKVDPsmVG,2020,1959771,Rojo,2020-02-27,150853,84,0.15,0.652,0.595,0.000115,0.0842,-4.04,0.113,0.444,172.27,4
5,4,Rojo,J Balvin,331613,2020-03-19,4uziEsK1yiqdauKVDPsmVG,2020,1959771,Rojo,2020-02-27,150853,84,0.15,0.652,0.595,0.000115,0.0842,-4.04,0.113,0.444,172.27,4
6,14,Se iluminaba,Fred De Palma,200022,2020-03-14,3VPOZWtj8mM89IiRNygxgS,2020,10362889,Uebe,2019-09-13,174291,76,0.0811,0.791,0.693,0.0,0.0708,-4.98,0.0639,0.624,123.923,4
7,14,Se iluminaba,Fred De Palma,186287,2020-03-15,3VPOZWtj8mM89IiRNygxgS,2020,10362889,Uebe,2019-09-13,174291,76,0.0811,0.791,0.693,0.0,0.0708,-4.98,0.0639,0.624,123.923,4
8,11,Se iluminaba,Fred De Palma,199116,2020-03-16,3VPOZWtj8mM89IiRNygxgS,2020,10362889,Uebe,2019-09-13,174291,76,0.0811,0.791,0.693,0.0,0.0708,-4.98,0.0639,0.624,123.923,4
9,11,Se iluminaba,Fred De Palma,206690,2020-03-17,3VPOZWtj8mM89IiRNygxgS,2020,10362889,Uebe,2019-09-13,174291,76,0.0811,0.791,0.693,0.0,0.0708,-4.98,0.0639,0.624,123.923,4
10,11,Se iluminaba,Fred De Palma,211934,2020-03-18,3VPOZWtj8mM89IiRNygxgS,2020,10362889,Uebe,2019-09-13,174291,76,0.0811,0.791,0.693,0.0,0.0708,-4.98,0.0639,0.624,123.923,4
11,11,Se iluminaba,Fred De Palma,206593,2020-03-19,3VPOZWtj8mM89IiRNygxgS,2020,10362889,Uebe,2019-09-13,174291,76,0.0811,0.791,0.693,0.0,0.0708,-4.98,0.0639,0.624,123.923,4
12,21,Se iluminaba,Fred De Palma,193632,2020-03-20,3VPOZWtj8mM89IiRNygxgS,2020,10362889,Uebe,2019-09-13,174291,76,0.0811,0.791,0.693,0.0,0.0708,-4.98,0.0639,0.624,123.923,4
13,17,Se iluminaba,Fred De Palma,190304,2020-03-21,3VPOZWtj8mM89IiRNygxgS,2020,10362889,Uebe,2019-09-13,174291,76,0.0811,0.791,0.693,0.0,0.0708,-4.98,0.0639,0.624,123.923,4
14,17,Se iluminaba,Fred De Palma,171525,2020-03-22,3VPOZWtj8mM89IiRNygxgS,2020,10362889,Uebe,2019-09-13,174291,76,0.0811,0.791,0.693,0.0,0.0708,-4.98,0.0639,0.624,123.923,4
15,17,Se iluminaba,Fred De Palma,186887,2020-03-23,3VPOZWtj8mM89IiRNygxgS,2020,10362889,Uebe,2019-09-13,174291,76,0.0811,0.791,0.693,0.0,0.0708,-4.98,0.0639,0.624,123.923,4
16,14,Se iluminaba,Fred De Palma,189407,2020-03-24,3VPOZWtj8mM89IiRNygxgS,2020,10362889,Uebe,2019-09-13,174291,76,0.0811,0.791,0.693,0.0,0.0708,-4.98,0.0639,0.624,123.923,4
