,year,genre,percentage
0,2017,pop,30.763477796714774
1,2017,dance,31.308349605064326
2,2017,rock,1.6133879050563449
3,2017,reggaeton,12.902810772076247
4,2017,hip hop,16.988806929227987
5,2017,cantautor,1.2335819404076591
0,2018,pop,35.592812020007756
1,2018,dance,19.8107872352195
2,2018,rock,0.5162690136229856
3,2018,reggaeton,14.389563252473032
4,2018,hip hop,26.973660759381684
5,2018,cantautor,0.884790719573163
0,2019,pop,32.53283006852284
1,2019,dance,14.682043377527416
2,2019,rock,0.5359400304561717
3,2019,reggaeton,19.65644543290008
4,2019,hip hop,27.478722198504283
5,2019,cantautor,1.360881587491405
0,2020,pop,29.74600548764262
1,2020,dance,7.012675499324393
2,2020,rock,0.42442100887925677
3,2020,reggaeton,32.328423139454245
4,2020,hip hop,24.974067155267665
5,2020,cantautor,4.513810689838496
