,Track Name,Artist,Streams,date,spotify_id,year,Streamstotal,album,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,time_signature,release_date_year,genre1,genre2,genre3,genre4,genre5,genre6,genre7,genre8,genre9,genre10,genres_together,artist_id,artist_followers,artist_popularity,streamstotal_weights,genre_depurated,genre_depurated_final
620,Como Camarón,Estopa,36644,2020-03-27,1VB4sadHjFcFklHcZuoROi,2020,2226397,Estopa,1999-10-18,0.32770553556821186,0.67,0.21600000000000005,0.499,0.721,9.74e-06,0.295,0.7034471437951412,0.04806022003474233,0.843,0.5208356996345318,4,1999-01-01,rumba,spanish pop,,,,,,,,,"rumba,spanish pop",5ZqnEfVdEGmoPxtELhN7ai,1117914,0.7171717171717171,0.0019871915673415784,rumba,reggaeton
621,Tu Calorro,Estopa,37661,2020-03-28,0DXI6c9tNWsI4tvUftkQN8,2020,37661,Estopa,1999-10-18,0.2984724426813413,0.66,0.22899999999999998,0.713,0.768,0.0,0.447,0.7198621142481944,0.0622466705269253,0.9620000000000001,0.17081465347328476,4,1999-01-01,rumba,spanish pop,,,,,,,,,"rumba,spanish pop",5ZqnEfVdEGmoPxtELhN7ai,1117914,0.7171717171717171,3.3614679510281044e-05,rumba,reggaeton
671,Soldadito marinero,Fito y Fitipaldis,40147,2020-03-13,0eVborSuxUeSg0meWYd9dZ,2020,5715196,Lo mas lejos a tu lado,2003-09-01,0.4619392823532127,0.69,0.132,0.718,0.431,0.000165,0.0686,0.7323046618516087,0.011870295309785756,0.324,0.5156109065884507,4,2003-01-01,cantautor,latin rock,rock en espanol,spanish pop,,,,,,,"cantautor,latin rock,rock en espanol,spanish pop",1tZ99AnqyjgrmPwLfGU5eo,1078818,0.6868686868686869,0.005101151904581402,cantautor,cantautor
672,Por la boca vive el pez,Fito y Fitipaldis,34799,2020-04-04,24UStI5AYA7g5ufFDh3LH0,2020,278483,Por la boca vive el pez,2006-09-11,0.5004038782569896,0.65,0.255,0.6409999999999999,0.892,1.01e-05,0.221,0.9267892317793828,0.01027793862188767,0.841,0.5931877250770023,4,2006-01-01,cantautor,latin rock,rock en espanol,spanish pop,,,,,,,"cantautor,latin rock,rock en espanol,spanish pop",1tZ99AnqyjgrmPwLfGU5eo,1078818,0.6868686868686869,0.0002485626189974136,cantautor,cantautor
758,Princesas,Pereza,35042,2020-03-13,3hlWUNjAlbZ6nOjAbrivBv,2020,6027065,Animales,2005-04-07,0.3661034595057556,0.67,0.0634,0.6829999999999999,0.846,0.0,0.34600000000000003,0.90252790544977,0.027504342790967,0.706,0.4639375697362882,4,2005-01-01,cantautor,spanish pop,spanish pop rock,spanish rock,,,,,,,"cantautor,spanish pop,spanish pop rock,spanish rock",6mfK6Q2tzLMEchAr0e9Uzu,346168,0.6262626262626263,0.0053795135116601256,cantautor,cantautor
799,Resistiré,Duo Dinamico,33821,2020-03-16,2oI6d7XcMz1AMTQhDopV5J,2020,1757261,En Forma,1988-03-09,0.4285391915767664,0.59,0.187,0.75,0.742,0.0,0.0712,0.6847669074195668,0.005500868558193401,0.653,0.22332983677532725,4,1988-01-01,cancion melodica,cantautor,pop romantico,spanish pop,,,,,,,"cancion melodica,cantautor,pop romantico,spanish pop",1TiGxAkU8w0xBCVFOP6Ttl,107137,0.5151515151515151,0.001568459821324871,cancion melodica,other
823,Caminando por la vida,Melendi,34772,2020-03-28,3v1dCP3hk2djfWryqfp7sx,2020,1167944,Que El Cielo Espere Sentao..,2006-08-14,0.3524613494918827,0.66,0.0148,0.695,0.958,7.16e-06,0.154,0.8950755088640842,0.08613202084539665,0.711,0.3047216895724623,4,2006-01-01,spanish pop,spanish pop rock,,,,,,,,,"spanish pop,spanish pop rock",1EXjXQpDx2pROygh8zvHs4,2297700,0.7474747474747475,0.0010424593942262733,spanish pop,pop
837,Pero a tu lado,Los Secretos,33770,2020-04-02,3JOXwHPhtdRU3kYKcf64Gj,2020,143332,Dos Caras Distintas,1995-01-01,0.3102682520918329,0.63,0.3670000000000001,0.48200000000000004,0.857,6.500000000000001e-05,0.0756,0.8601772816808929,0.1184134337000579,0.87,0.11130412705200077,4,1995-01-01,cantautor,latin arena pop,rock en espanol,spanish new wave,spanish pop,spanish pop rock,,,,,"cantautor,latin arena pop,rock en espanol,spanish new wave,spanish pop,spanish pop rock",2KEDbpUlz9nwtGywHT4gyf,232288,0.6060606060606061,0.00012793232371863738,cantautor,cantautor
869,Al Alba - Remasterizado,Luis Eduardo Aute,37421,2020-04-04,0OXMtHq7Nnu3D5slUJHNn0,2020,73194,Albanta (Remasterizado),1978-04-07,0.5713505432483095,0.42,0.35100000000000003,0.6629999999999999,0.308,0.00028399999999999996,0.0822,0.6621470781352595,0.021713954834973945,0.32299999999999995,0.3318478529574868,4,1978-01-01,cantautor,nueva cancion,spanish pop,trova,,,,,,,"cantautor,nueva cancion,spanish pop,trova",67h1eGw2OFs89l8EnaOdoS,197585,0.5757575757575758,6.532999262036352e-05,cantautor,cantautor
901,Besos,El Canto Del Loco,32341,2020-04-13,7MKO7rUZzjw8p87zdZDgqa,2020,211892,Zapatillas,2005,0.18359151624872747,0.64,0.006790000000000001,0.5760000000000001,0.909,4.42e-06,0.134,0.9105712409717662,0.04212507237984945,0.544,0.28412317683452376,4,2005-01-01,latin arena pop,latin pop,spanish pop,spanish pop rock,,,,,,,"latin arena pop,latin pop,spanish pop,spanish pop rock",5RK6c1tyaKpwcDpbgCGNgj,644585,0.6868686868686869,0.00018912619608593692,latin arena pop,pop
