,genre_depurated_final,Artist,Streamstotal
0,reggaeton,Bad Bunny,122953094
1,reggaeton,J Balvin,90325976
2,pop,Rauw Alejandro,43243975
3,hip hop,ROSALÍA,31883714
4,hip hop,Daddy Yankee,29711677
5,hip hop,Myke Towers,27970521
6,reggaeton,KAROL G,25983301
7,reggaeton,Anuel AA,20490647
8,pop,Morat,19084587
9,reggaeton,Jhay Cortez,18821560
10,pop,Pedro Capó,16593146
11,dance,Dua Lipa,16136177
12,pop,Sebastian Yatra,15389972
13,cantautor,Rvfv,14774874
14,reggaeton,Lunay,14091297
15,hip hop,Beret,14072407
16,pop,Lola Indigo,13681979
17,pop,Lérica,13418578
18,pop,Aitana,13129691
19,hip hop,C. Tangana,12574276
20,hip hop,Nicky Jam,12054513
21,hip hop,Don Patricio,11949839
22,pop,Leiva,11883936
23,dance,El Completo Rd,11869120
24,pop,Dvicio,11634312
25,hip hop,Dalex,11053687
26,cantautor,Chema Rivas,10922046
27,hip hop,Lalo Ebratt,10912092
28,pop,Sech,10694327
29,hip hop,Fred De Palma,10413811
30,pop,Camilo,10214464
31,pop,Danny Ocean,10054268
32,dance,Billie Eilish,10053696
33,hip hop,The Weeknd,9746745
34,cantautor,Robledo,9513458
35,pop,Feid,9330409
36,reggaeton,Chimbala,9261771
37,cantautor,Omar Montes,9217399
38,pop,Tones And I,8805114
39,dance,Black Eyed Peas,8570473
40,pop,David Bisbal,8425101
41,reggaeton,El Alfa,8065179
42,pop,Shakira,7844533
43,pop,Nil Moliner,7786180
44,reggaeton,Bryant Myers,6972843
45,reggaeton,Beéle,6822978
46,dance,Lady Gaga,6654274
47,pop,Sinsinati,6631473
48,hip hop,SAINt JHN,6397470
49,pop,Reik,6279159
50,hip hop,Travis Scott,6037273
51,cantautor,Pereza,6027065
52,hip hop,Casper Magico,6008110
53,cantautor,Fito y Fitipaldis,5993679
54,hip hop,Funzo & Baby Loud,5757626
55,pop,Kafu Banton,5645266
56,dance,Yago Roche,5620392
57,pop,Lewis Capaldi,5588520
58,cantautor,Bandaga,5572653
59,reggaeton,Dímelo Flow,5407146
60,cantautor,Alejandro Sanz,4838570
61,hip hop,Powfu,4804117
62,hip hop,Kidd Keo,4781968
63,hip hop,Rvssian,4755176
64,rock,Doja Cat,4718413
65,reggaeton,Estopa,4683997
66,hip hop,Natos y Waor,4659322
67,reggaeton,Justin Quiles,4556478
68,pop,Dani Fernández,4532656
69,pop,Pablo Alborán,4290253
70,cantautor,Morad,4282659
71,hip hop,Bad Gyal,4071305
72,other,Danny Romero,4000348
73,pop,Manuel Carrasco,3890627
74,reggaeton,Super Yei,3855184
75,dance,Jey Blessing,3825691
76,hip hop,Roddy Ricch,3813968
77,hip hop,KHEA,3734120
78,hip hop,Arcangel,3457443
79,pop,Justin Bieber,3422177
80,pop,David Otero,3421294
81,pop,Maroon 5,3342840
82,pop,Shawn Mendes,3303659
83,reggaeton,La Nueva Escuela,3262919
84,pop,Manuel Turizo,3211050
85,cantautor,Antonio José,3172428
86,pop,Tainy,3007219
87,reggaeton,Maluma,2952042
88,hip hop,Bizarrap,2940118
89,other,Dayvi,2936749
90,reggaeton,Alex Rose,2892215
91,pop,Arizona Zervas,2877271
92,hip hop,Drake,2856487
93,other,Resistiré 2020,2718754
94,hip hop,Trevor Daniel,2688781
95,reggaeton,Rich Music LTD,2675062
96,hip hop,Lenny Tavárez,2668059
97,cantautor,Nyno Vargas,2665861
98,reggaeton,Nio Garcia,2620488
99,hip hop,Duki,2583428
100,reggaeton,Javiielo,2570232
101,pop,Abraham Mateo,2546905
102,dance,Major Lazer,2486501
103,dance,Becky G,2369988
104,hip hop,THE SCOTTS,2327920
105,pop,Dani Martín,2217114
106,hip hop,Paulo Londra,2116840
107,hip hop,Rels B,2058314
108,pop,Ozuna,1912668
109,reggaeton,Cali Y El Dandee,1787407
110,hip hop,Lil Mosey,1774266
111,pop,Harry Styles,1770693
112,other,Duo Dinamico,1757261
113,pop,Ed Sheeran,1721275
114,other,Rasel,1685724
115,dance,Vicetone,1675504
116,rock,BENEE,1673602
117,pop,Natalia Lacunza,1527491
118,hip hop,Trueno,1461777
119,hip hop,Harry Nach,1418525
120,hip hop,Farruko,1335084
121,pop,Ovy On The Drums,1317269
122,hip hop,Darell,1286609
123,reggaeton,Ceky Viciny,1262764
124,other,Surfaces,1238867
125,dance,MEDUZA,1220019
126,pop,Melendi,1167944
127,dance,Surf Mesa,1137251
128,hip hop,Natti Natasha,1103470
129,reggaeton,Eladio Carrion,1026041
130,reggaeton,Alex Sensation,938461
131,hip hop,Yandel,930018
132,reggaeton,Gente De Zona,874083
133,hip hop,Residente,764827
134,hip hop,Megan Thee Stallion,605580
135,reggaeton,Ankhal,596251
136,other,Wisin & Yandel,507114
137,pop,Lennis Rodriguez,496448
138,dance,Ariana Grande,483608
139,pop,Paloma Mami,401019
140,hip hop,DripReport,360163
141,pop,PARTYNEXTDOOR,335440
142,pop,Ana Mena,329777
143,cantautor,Vetusta Morla,320353
144,cantautor,Los del Control,300424
145,hip hop,Eminem,300268
146,dance,Javy Ramírez,290712
147,hip hop,6ix9ine,281195
148,pop,Guitarricadelafuente,269825
149,other,Ir Sais,257456
150,hip hop,Lil Pump,247036
151,pop,Miki Núñez,227586
152,cantautor,Los Ronaldos,217068
153,hip hop,Post Malone,212952
154,pop,El Canto Del Loco,211892
155,hip hop,KvndySwing,203105
156,hip hop,DaBaby,192769
