,Track Name,Artist,Streamstotal
0,Con Calma,Daddy Yankee,23813270
1,Con Altura,ROSALÍA,23640038
2,Safaera,Bad Bunny,19832873
3,Tusa,KAROL G,19082982
4,Amarillo,J Balvin,17463083
5,Rojo,J Balvin,17210907
6,Calma - Remix,Pedro Capó,16593146
7,Tattoo,Rauw Alejandro,15856333
8,La Difícil,Bad Bunny,15258677
9,Yo Perreo Sola,Bad Bunny,14216199
10,Morado,J Balvin,13664386
11,Diosa,Myke Towers,13022899
12,Una Mala (Remix),El Completo Rd,11869120
13,4 besos,Lola Indigo,11017600
14,Mil Tequilas,Chema Rivas,10922046
15,Déjate Querer,Lalo Ebratt,10871366
16,Keii,Anuel AA,10715355
17,Ignorantes,Bad Bunny,10617618
18,Se iluminaba,Fred De Palma,10413811
19,Dime Bbsita,Robledo,9513458
