,year,genre,percentage
0,2017,pop,31.171907698105223
1,2017,dance,31.646854795027124
2,2017,rock,1.6133879050563449
3,2017,reggaeton,12.859422350553508
4,2017,hip hop,16.312865532207987
5,2017,cantautor,1.4904149464684309
6,2017,other,4.905146772581383
0,2018,pop,36.09206565260696
1,2018,dance,19.8107872352195
2,2018,rock,0.5162690136229856
3,2018,reggaeton,14.776385956117302
4,2018,hip hop,24.866876049120144
5,2018,cantautor,2.105499093591227
6,2018,other,1.8321169997218774
0,2019,pop,34.45817648573064
1,2019,dance,15.01885168526035
2,2019,rock,0.5359400304561717
3,2019,reggaeton,18.656130022159587
4,2019,hip hop,26.30935052144337
5,2019,cantautor,2.1708847184354667
6,2019,other,2.850666536514415
0,2020,pop,27.476472123096187
1,2020,dance,6.489672018918439
2,2020,rock,0.5737999283390836
3,2020,reggaeton,32.65095153102119
4,2020,hip hop,24.44187593618045
5,2020,cantautor,7.00957662234843
6,2020,other,1.3576518400962165
