,year,genre,percentage
0,2017,pop,23.282596406165414
1,2017,dance,33.050614902837765
2,2017,rock,1.754118210611862
3,2017,reggaeton,13.703396966827171
4,2017,hip hop,18.36567480183736
5,2017,cantautor,1.6000006950590295
6,2017,other,8.243598016661398
0,2018,pop,42.84398119437411
1,2018,dance,19.187949931591707
2,2018,rock,0.7416873117433063
3,2018,reggaeton,12.494781554639165
4,2018,hip hop,20.6358823428106
5,2018,cantautor,1.079183152091071
6,2018,other,3.0165345127500447
0,2019,pop,37.57220914637654
1,2019,dance,15.043619376722523
2,2019,rock,1.4354864851585747
3,2019,reggaeton,18.216186791609825
4,2019,hip hop,22.098458510688996
5,2019,cantautor,1.2762807485892893
6,2019,other,4.357758940854253
0,2020,pop,31.49817649048866
1,2020,dance,7.641562650316994
2,2020,rock,0.1607509036663833
3,2020,reggaeton,26.941157524803298
4,2020,hip hop,27.258688755623666
5,2020,cantautor,5.488246997057277
6,2020,other,1.0114166780437195
