Position,Track Name,Artist,Streams,date,region,spotify_id
1,Contando Lunares (feat. Cruz Cafuné),Don Patricio,453225,2019-03-14,es,6Cs7b9bu3fy5XhMwBA9Tz4
2,Con Calma,Daddy Yankee,442112,2019-03-14,es,5w9c2J52mkdntKOmRLeM2m
3,Secreto,Anuel AA,312066,2019-03-14,es,5W83ErFkO3aKAIS1WMi6u0
4,Baila Baila Baila,Ozuna,308888,2019-03-14,es,7uH27oIt4a6cIFCA8ZPcyG
5,Calma - Remix,Pedro Capó,273845,2019-03-14,es,5iwz1NiezX7WWjnCgY5TH4
6,Soltera,Lunay,268802,2019-03-14,es,4T4CZ3Q4z3GG7lU720YYhM
7,Un Año,Sebastian Yatra,259448,2019-03-14,es,5BDP2tky8oMQJPS33frKVp
8,Adan y Eva,Paulo Londra,250591,2019-03-14,es,6FyRXC8tJUh863JCkyWqtk
9,Amanece,Anuel AA,224814,2019-03-14,es,1LiN0Z98FkR1t0m8KmLcAH
10,Pa' Llamar Tu Atención (feat. MC Bin Laden),C. Tangana,217812,2019-03-14,es,2vEY3cNwXYxIG4fPAoN14q
11,HP,Maluma,204169,2019-03-14,es,31UjYv5vLsDkzchJOtUMtW
12,Ta To Gucci (Remix),Cauty,195906,2019-03-14,es,7kuRvjpeUcn6qNV9IBXC2C
13,Ella Quiere Beber - Remix,Anuel AA,190053,2019-03-14,es,3f5lA8nnc4YYF1qf78WpHw
14,NI BIEN NI MAL,Bad Bunny,174444,2019-03-14,es,278kSqsZIiYp8p3QjYAqa8
15,Esclavo de Tus Besos,Manuel Turizo,173182,2019-03-14,es,3g4UyIcQwutiG0TfW32GnX
16,Si Se Da,Myke Towers,170122,2019-03-14,es,5KbBGUpIZd6gVFUU8tqYiQ
17,Pa Mí - Remix,Dalex,163043,2019-03-14,es,224EVTFiLsdQignUFLvDeH
18,Adictiva,Daddy Yankee,161068,2019-03-14,es,6MJUCumnQsQEKbCy28tbCP
19,Mujer Bruja,Lola Indigo,153363,2019-03-14,es,4R8TsvDoKSSDVERlaphNBA
20,Say My Name,David Guetta,147270,2019-03-14,es,0YammaEkYSeo9vQYZ1OwS6
