Position,Track Name,Artist,Streams,date,region,spotify_id
1,Adan y Eva,Paulo Londra,319671,2019-01-08,es,6FyRXC8tJUh863JCkyWqtk
2,MALA,6ix9ine,242170,2019-01-08,es,0LQ1J0BCzA2qnAgp9MkkNE
3,Adictiva,Daddy Yankee,240311,2019-01-08,es,6MJUCumnQsQEKbCy28tbCP
4,NI BIEN NI MAL,Bad Bunny,233657,2019-01-08,es,278kSqsZIiYp8p3QjYAqa8
5,Calma - Remix,Pedro Capó,227887,2019-01-08,es,5iwz1NiezX7WWjnCgY5TH4
6,Vas A Quedarte,Aitana,213987,2019-01-08,es,2b3JxLi8KAiOsD8ehnOxDZ
7,Ella Quiere Beber - Remix,Anuel AA,211683,2019-01-08,es,2cYnZNzFRFK0H7vSNxPsUq
8,MIA (feat. Drake),Bad Bunny,209605,2019-01-08,es,116H0KvKr2Zl4RPuVBruDO
9,Booty,C. Tangana,202755,2019-01-08,es,4W3FJapn5CD6Fnrlfj4HFe
10,Amanece,Anuel AA,196782,2019-01-08,es,1LiN0Z98FkR1t0m8KmLcAH
11,Imposible,Luis Fonsi,193033,2019-01-08,es,3ao3OVxHlb3C08vAaApUlm
12,Solo de Mi,Bad Bunny,178246,2019-01-08,es,4uP3pUP18ennmz0tb3GphR
13,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,170135,2019-01-08,es,4w8niZpiMy6qz1mntFA5uM
14,Mujer Bruja,Lola Indigo,164070,2019-01-08,es,4R8TsvDoKSSDVERlaphNBA
15,Vaina Loca,Ozuna,154337,2019-01-08,es,48zFZh27QU5qsrBjn4C2FA
16,Bubalu,Becky G,152663,2019-01-08,es,7dNwJbsT0sg1le5kVugGJb
17,Lo siento,Beret,143404,2019-01-08,es,4S6gJt4RYR34t4sjW8wEah
18,Ibiza,Ozuna,141242,2019-01-08,es,1h9P5WJwyvK8OB7O2YiXgp
19,Replay,Maikel Delacalle,138637,2019-01-08,es,07w6jp4Fq8GGqhLoDYoVkb
20,MALAMENTE - Cap.1: Augurio,ROSALÍA,136396,2019-01-08,es,1B0BQaSRHxhI0AUlItY3LK
21,Cuando Te Besé,Becky G,126651,2019-01-08,es,2XXMDz7SPZ4mSFN1PXfHUy
22,Ta To Gucci (Remix),Cauty,125540,2019-01-08,es,7kuRvjpeUcn6qNV9IBXC2C
23,Qué Tienes Tú (feat. Jesús de Reik & Mau y Ricky),Dvicio,124922,2019-01-08,es,4txQPJDlvU72lC6EMhT7m9
24,Está Rico,Marc Anthony,123856,2019-01-08,es,2wRkBumdItthjYP9XknImg
25,Antes de Morirme (feat. Rosalía),C. Tangana,123159,2019-01-08,es,7aFBy1CBLGnZE1Iv6TvEZE
26,Asesina - Remix,Brytiago,111951,2019-01-08,es,59PYgzOiOjGDzjDT5N5oOX
27,Desde el Corazón,Bad Bunny,107688,2019-01-08,es,1R2mapMAUiYqre6jcFX57g
28,BEBE,6ix9ine,107076,2019-01-08,es,4KkUjFkcQvGvWekl8RATDn
29,TELÉFONO,Aitana,105795,2019-01-08,es,5h8VHxOBK1VWWj46T8fSly
30,Reggaeton,J Balvin,105640,2019-01-08,es,2D3z17LBMJ2HEHeBFFjTLi
31,Culpables,KAROL G,104001,2019-01-08,es,6q8Lb50EtqNeeJXXe8mMAH
32,Desconocidos,Mau y Ricky,101222,2019-01-08,es,0s5DNDV6LAKn2u2Ufa3VjQ
33,Cuando Nadie Ve,Morat,98136,2019-01-08,es,71iAechwVKGu26pahzFL0k
34,Mocca - Remix,Lalo Ebratt,98050,2019-01-08,es,1usoXi4f0BnMART4uActEA
35,5 Sentidos,Dvicio,97089,2019-01-08,es,7chjOPhoxbpRYSrO1rvdnu
36,Perdón,David Bisbal,94797,2019-01-08,es,4iCJFRTRsFlj4UWoEd7bS9
37,Devuelveme,Ozuna,93617,2019-01-08,es,5uvucCRBTkxv7VxIDLOqe7
38,Ni La Hora,Ana Guerra,92348,2019-01-08,es,1he4G9w0zh5GokInpOSINW
39,Déjala Que Baile (with Alejandro Sanz & Arkano),Melendi,91152,2019-01-08,es,2KK9N6iBAisA0booTu3bGd
40,No Te Preocupes por Mi,Leiva,90854,2019-01-08,es,2huX4MIVEWQtzCpu6B05SV
41,Bajito,Ana Guerra,90084,2019-01-08,es,1izomJbkB4nTh5hDLgsBZd
42,PPP,Kevin Roldan,89889,2019-01-08,es,1DcxnVNFAyVl2sDQ646pXS
43,Créeme,KAROL G,88542,2019-01-08,es,1mT47pKLXUwPYGwB91GcNz
44,Sin Pijama,Becky G,88230,2019-01-08,es,2ijef6ni2amuunRoKTlgww
45,Girls Like You (feat. Cardi B),Maroon 5,85826,2019-01-08,es,7fa9MBXhVfQ8P8Df9OEbD8
46,A Solas - Remix,Lunay,84481,2019-01-08,es,3T5QSIgoaPIh07SwixRDp7
47,Mujeres,Mozart La Para,83773,2019-01-08,es,6xLvYhLOW2oETJoZv8ChU8
48,Usted,Juan Magán,78385,2019-01-08,es,79HTe42PihWUUq4BDjcuCq
49,PIENSO EN TU MIRÁ - Cap.3: Celos,ROSALÍA,77195,2019-01-08,es,5r8mGKhCDIVWb3AG4hm0l0
50,Celoso,Lele Pons,76285,2019-01-08,es,33zcmmElV1YbRZe57biUjg
51,Mejor Que Tú,Aitana,76027,2019-01-08,es,7Kn8yBD9hk8zJtgMQQrTKV
52,Te Boté - Remix,Nio Garcia,73404,2019-01-08,es,3V8UKqhEK5zBkBb6d6ub8i
53,"thank u, next",Ariana Grande,71058,2019-01-08,es,2rPE9A1vEgShuZxxzR2tZH
54,Tanta Falta,Bryant Myers,69878,2019-01-08,es,0sPTfDSZgE3KvcvqaKPtEx
55,Good Vibes,Fuego,68035,2019-01-08,es,4TwIbmabI2R5XUhqptk6Ev
56,Él no soy yo,Blas Cantó,67778,2019-01-08,es,38mCl4EuWhML4eaZPdNQ3a
57,Lo Malo - Operación Triunfo 2017,Aitana,67718,2019-01-08,es,7aJP1XcWcSU9w0eqSvaeZR
58,Luz Apaga,Ozuna,66613,2019-01-08,es,5Q3e16qE1RE5oilN3ukasm
59,Bohemian Rhapsody - 2011 Mix,Queen,65476,2019-01-08,es,7tFiyTwD0nx5a1eklYtX2J
60,A Partir De Hoy,David Bisbal,65138,2019-01-08,es,7ojH6H4wE6XJNgzU4uvNc8
61,No Me Acuerdo,Thalía,64782,2019-01-08,es,1G586ld1gbaECg4Bc6w40O
62,Te echo de menos,Beret,64048,2019-01-08,es,3gPOFPYLgpvQz0ZMwmv7NE
63,Say My Name,David Guetta,63693,2019-01-08,es,0YammaEkYSeo9vQYZ1OwS6
64,Baila Baila Baila,Ozuna,62513,2019-01-08,es,7uH27oIt4a6cIFCA8ZPcyG
65,No Es Justo,J Balvin,62270,2019-01-08,es,5qFeMRz4TvetPmzjre9Dq7
66,Besos En Guerra,Morat,61576,2019-01-08,es,1mlGScrDQqHqmhdIqE8MmA
67,La Cintura,Alvaro Soler,60516,2019-01-08,es,1BFmBgVOnLy3Ekrxz1lBOK
68,Shallow,Lady Gaga,60390,2019-01-08,es,2VxeLyX666F8uXCJ0dZF8B
69,De La Tierra Hasta Marte,Alfred García,60261,2019-01-08,es,5JeYtXkFiWoQ6nEjtURNMm
70,Me Niego (feat. Ozuna & Wisin),Reik,59155,2019-01-08,es,6jA8JUuPCGYjFcgw0AoM5T
71,Un Veneno,C. Tangana,58881,2019-01-08,es,42C5Bbb4dHwS5OFMvtGkG2
72,Mala Mía - Remix,Maluma,58555,2019-01-08,es,6sAwJPgaSQ9Q4XGnbx1gZb
73,Caro,Bad Bunny,58164,2019-01-08,es,6it15CsDlkqB7N4lF0C1qM
74,Amigos Con Derechos,Reik,57938,2019-01-08,es,2zDj4WjbNDmrRL6Z4YjjCA
75,Ya No Quiero Ná,Lola Indigo,57880,2019-01-08,es,2A2Q4CYBcVvBF2OqgJ3OWX
